"ICD","Description","ICA","LGPS","RF","Lasso"
"N189","Chronische Nierenkrankheit, nicht näher bezeichnet",112,546.5,256,1838
"N62","Hypertrophie der Mamma [Brustdrüse]",112,546.5,58,5
"M792","Neuralgie und Neuritis, nicht näher bezeichnet",115,546.5,150,1838
"F252","Gemischte schizoaffektive Störung",116,546.5,211,1838
"I701","Atherosklerose der Nierenarterie",117,118,171,1838
"G048","Sonstige Enzephalitis, Myelitis und Enzephalomyelitis",118.5,119.5,694,1838
"M109","Gicht, nicht näher bezeichnet",118.5,119.5,713,1838
"D690","Purpura anaphylactoides",120,113,390,1838
"I693","Folgen eines Hirninfarktes",121,112,412,1838
"N202","Nierenstein und Ureterstein gleichzeitig",122,98.5,182,1838
"F018","Sonstige vaskuläre Demenz",123.5,96.5,688,1838
"I890","Lymphödem, anderenorts nicht klassifiziert",123.5,96.5,759.5,1838
"S423","Fraktur des Humerusschaftes",125,98.5,701,1838
"C349","Bösartige Neubildung: Bronchus oder Lunge, nicht näher bezeichnet",126,100,493,1838
"J958","Sonstige Krankheiten der Atemwege nach medizinischen Maßnahmen",128,115,139,1838
"K858","Sonstige akute Pankreatitis",128,115,581,1838
"R91","Abnorme Befunde bei der bildgebenden Diagnostik der Lunge",128,115,727,1838
"C775","Sekundäre und nicht näher bezeichnete bösartige Neubildung: Intrapelvine Lymphknoten",132,140,29,1838
"F451","Undifferenzierte Somatisierungsstörung",132,140,652,1838
"F510","Nichtorganische Insomnie",132,140,629,1838
"I729","Aneurysma und Dissektion nicht näher bezeichneter Lokalisation",132,140,115,1838
"M238","Sonstige Binnenschädigungen des Kniegelenkes",132,140,554,1838
"A402","Sepsis durch Streptokokken, Gruppe D",135,143,526,1838
"C920","Akute myeloblastische Leukämie [AML]",136,144,54,1838
"Z932","Vorhandensein eines Ileostomas",137,127.5,614,1838
"D400","Neubildung unsicheren oder unbekannten Verhaltens: Prostata",140.5,123.5,564,1838
"E210","Primärer Hyperparathyreoidismus",140.5,123.5,739,1838
"G408","Sonstige Epilepsien",140.5,123.5,147,1838
"G410","Grand-mal-Status",140.5,123.5,648,1838
"R633","Ernährungsprobleme und unsachgemäße Ernährung",140.5,123.5,107,1838
"S134","Verstauchung und Zerrung der Halswirbelsäule",140.5,123.5,561,1838
"F078","Sonstige organische Persönlichkeits- und Verhaltensstörungen aufgrund einer Krankheit, Schädigung oder Funktionsstörung des Gehirns",144,127.5,736,1838
"L400","Psoriasis vulgaris",145,133.5,589,1838
"I252","Alter Myokardinfarkt",147.5,130.5,78,1838
"K293","Chronische Oberflächengastritis",147.5,130.5,747,1838
"L023","Hautabszess, Furunkel und Karbunkel am Gesäß",147.5,130.5,578,1838
"R572","Septischer Schock",147.5,130.5,636,1838
"C673","Bösartige Neubildung: Vordere Harnblasenwand",150,133.5,721,1838
"C792","Sekundäre bösartige Neubildung der Haut",151,135,705,1838
"I770","Arteriovenöse Fistel, erworben",152,158,319,1838
"A412","Sepsis durch nicht näher bezeichnete Staphylokokken",158.5,150.5,210,1838
"C518","Bösartige Neubildung: Vulva, mehrere Teilbereiche überlappend",158.5,150.5,80,1838
"D485","Neubildung unsicheren oder unbekannten Verhaltens: Haut",158.5,150.5,664,1838
"J154","Pneumonie durch sonstige Streptokokken",158.5,150.5,203,1838
"J392","Sonstige Krankheiten des Rachenraumes",158.5,150.5,322,1838
"K862","Pankreaszyste",158.5,150.5,257,1838
"M704","Bursitis praepatellaris",158.5,150.5,40,1838
"N920","Zu starke oder zu häufige Menstruation bei regelmäßigem Menstruationszyklus",158.5,150.5,728,1838
"R198","Sonstige näher bezeichnete Symptome, die das Verdauungssystem und das Abdomen betreffen",158.5,150.5,302,1838
"S019","Offene Wunde des Kopfes, Teil nicht näher bezeichnet",158.5,150.5,144,1838
"S368","Verletzung sonstiger intraabdominaler Organe",158.5,150.5,70,1838
"Z488","Sonstige näher bezeichnete Nachbehandlung nach chirurgischem Eingriff",158.5,150.5,441,1838
"G958","Sonstige näher bezeichnete Krankheiten des Rückenmarkes",165.5,158,663,1838
"J450","Vorwiegend allergisches Asthma bronchiale",165.5,158,617,1838
"K750","Leberabszess",167.5,160.5,121,1838
"Z740","Probleme mit Bezug auf: Hilfsbedürftigkeit wegen eingeschränkter Mobilität",167.5,160.5,125,1838
"C23","Bösartige Neubildung der Gallenblase",169,546.5,98,1838
"E113","Diabetes mellitus, Typ 2: Mit Augenkomplikationen",174.5,546.5,480,1838
"E870","Hyperosmolalität und Hypernatriämie",174.5,546.5,157,1838
"G219","Sekundäres Parkinson-Syndrom, nicht näher bezeichnet",174.5,546.5,642,1838
"H433","Sonstige Glaskörpertrübungen",174.5,546.5,175,1838
"K047","Periapikaler Abszess ohne Fistel",174.5,546.5,351,1838
"K435","Parastomale Hernie ohne Einklemmung und ohne Gangrän",174.5,546.5,559,1838
"K761","Chronische Stauungsleber",174.5,546.5,122,1838
"N323","Harnblasendivertikel",174.5,546.5,162,1838
"N362","Harnröhrenkarunkel",174.5,546.5,501,1838
"R451","Ruhelosigkeit und Erregung",174.5,546.5,490,1838
"G821","Spastische Paraparese und Paraplegie",180.5,546.5,404,1838
"K222","Ösophagusverschluss",180.5,546.5,411,1838
"I870","Postthrombotisches Syndrom",182,137,723,1838
"F070","Organische Persönlichkeitsstörung",183,136,392,1838
"M895","Osteolyse",184,178.5,231,1838
"K227","Barrett-Ösophagus",185.5,175,93,1838
"K558","Sonstige Gefäßkrankheiten des Darmes",185.5,175,26,1838
"D528","Sonstige Folsäure-Mangelanämien",192,167,552,1838
"J380","Lähmung der Stimmlippen und des Kehlkopfes",192,167,718,1838
"J383","Sonstige Krankheiten der Stimmlippen",192,167,275,1838
"J931","Sonstiger Spontanpneumothorax",192,167,478,1838
"J981","Lungenkollaps",192,167,482,1838
"K811","Chronische Cholezystitis",192,167,91,1838
"M600","Infektiöse Myositis",192,167,90,1838
"M869","Osteomyelitis, nicht näher bezeichnet",192,167,46,1838
"R509","Fieber, nicht näher bezeichnet",192,167,716,1838
"T876","Sonstige und nicht näher bezeichnete Komplikationen am Amputationsstumpf",192,167,337,1838
"Z038","Beobachtung bei sonstigen Verdachtsfällen",192,167,14,1838
"C65","Bösartige Neubildung des Nierenbeckens",198,180,72,1838
"C240","Bösartige Neubildung: Extrahepatischer Gallengang",199,178.5,657,1838
"K122","Phlegmone und Abszess des Mundes",201,175,34,1838
"K661","Hämoperitoneum",201,175,133,1838
"L282","Sonstige Prurigo",201,175,143,1838
"D472","Monoklonale Gammopathie unbestimmter Signifikanz [MGUS]",203,209,45,1838
"C492","Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe der unteren Extremität, einschließlich Hüfte",204,212,717,1838
"A080","Enteritis durch Rotaviren",215,196,741,1838
"C809","Bösartige Neubildung, nicht näher bezeichnet",215,196,440,1838
"D151","Gutartige Neubildung: Herz",215,196,735,1838
"D477","Sonstige näher bezeichnete Neubildungen unsicheren oder unbekannten Verhaltens des lymphatischen, blutbildenden und verwandten Gewebes",215,196,465,1838
"E784","Sonstige Hyperlipidämien",215,196,565,1838
"F019","Vaskuläre Demenz, nicht näher bezeichnet",215,196,724,1838
"G310","Umschriebene Hirnatrophie",215,196,413,1838
"I071","Trikuspidalklappeninsuffizienz",215,196,152,1838
"J068","Sonstige akute Infektionen an mehreren Lokalisationen der oberen Atemwege",215,196,301,1838
"K053","Chronische Parodontitis",215,196,102,1838
"K668","Sonstige näher bezeichnete Krankheiten des Peritoneums",215,196,635,1838
"M002","Arthritis und Polyarthritis durch sonstige Streptokokken",215,196,153,1838
"M653","Schnellender Finger",215,196,633,1838
"R161","Splenomegalie, anderenorts nicht klassifiziert",215,196,60,1838
"R252","Krämpfe und Spasmen der Muskulatur",215,196,528,1838
"R748","Sonstige abnorme Serumenzymwerte",215,196,637,1838
"S018","Offene Wunde sonstiger Teile des Kopfes",215,196,127,1838
"T460","Vergiftung: Herzglykoside und Arzneimittel mit ähnlicher Wirkung",215,196,670,1838
"T817","Gefäßkomplikationen nach einem Eingriff, anderenorts nicht klassifiziert",215,196,74,1838
"Z904","Verlust anderer Teile des Verdauungstraktes",215,196,601,1838
"Z960","Vorhandensein von urogenitalen Implantaten",215,196,260,1838
"C689","Bösartige Neubildung: Harnorgan, nicht näher bezeichnet",227.5,209,548,1838
"H408","Sonstiges Glaukom",227.5,209,41,1838
"L021","Hautabszess, Furunkel und Karbunkel am Hals",227.5,209,69,1838
"M358","Sonstige näher bezeichnete Krankheiten mit Systembeteiligung des Bindegewebes",227.5,209,47,1838
"Z015","Diagnostische Haut- und Sensibilisierungstestung",230,185,671,1838
"C251","Bösartige Neubildung: Pankreaskörper",232.5,182.5,551,1838
"H334","Traktionsablösung der Netzhaut",232.5,182.5,89,1838
"I259","Chronische ischämische Herzkrankheit, nicht näher bezeichnet",232.5,182.5,594,1838
"T855","Mechanische Komplikation durch gastrointestinale Prothesen, Implantate oder Transplantate",232.5,182.5,439,1838
"N850","Glanduläre Hyperplasie des Endometriums",235,240.5,177,1838
"C548","Bösartige Neubildung: Corpus uteri, mehrere Teilbereiche überlappend",236,238.5,679,1838
"C66","Bösartige Neubildung des Ureters",237,242,166,1838
"C342","Bösartige Neubildung: Mittellappen (-Bronchus)",238,240.5,542,1838
"A084","Virusbedingte Darminfektion, nicht näher bezeichnet",251,225,722,1838
"B59","Pneumozystose",251,225,434,1838
"D696","Thrombozytopenie, nicht näher bezeichnet",251,225,687,1838
"D703","Sonstige Agranulozytose",251,225,560,1838
"E059","Hyperthyreose, nicht näher bezeichnet",251,225,668,1838
"E43","Nicht näher bezeichnete erhebliche Energie- und Eiweißmangelernährung",251,225,696,1838
"G822","Paraparese und Paraplegie, nicht näher bezeichnet",251,225,627,1838
"I278","Sonstige näher bezeichnete pulmonale Herzkrankheiten",251,225,467,1838
"I288","Sonstige näher bezeichnete Krankheiten der Lungengefäße",251,225,65,1838
"I443","Sonstiger und nicht näher bezeichneter atrioventrikulärer Block",251,225,393,1838
"J411","Schleimig-eitrige chronische Bronchitis",251,225,477,1838
"K523","Colitis indeterminata",251,225,673,1838
"K628","Sonstige näher bezeichnete Krankheiten des Anus und des Rektums",251,225,106,1838
"K633","Darmulkus",251,225,135,1838
"K818","Sonstige Formen der Cholezystitis",251,225,523,1838
"M246","Ankylose eines Gelenkes",251,225,381,1838
"M705","Sonstige Bursitis im Bereich des Knies",251,225,57,1838
"M862","Subakute Osteomyelitis",251,225,592,1838
"N210","Stein in der Harnblase",251,225,690,1838
"N368","Sonstige näher bezeichnete Krankheiten der Harnröhre",251,225,608,1838
"N492","Entzündliche Krankheiten des Skrotums",251,225,51,1838
"N998","Sonstige Krankheiten des Urogenitalsystems nach medizinischen Maßnahmen",251,225,96,1838
"R071","Brustschmerzen bei der Atmung",251,225,749,1838
"R418","Sonstige und nicht näher bezeichnete Symptome, die das Erkennungsvermögen und das Bewusstsein betreffen",251,225,474,1838
"T886","Anaphylaktischer Schock als unerwünschte Nebenwirkung eines indikationsgerechten Arzneimittels oder einer indikationsgerechten Droge bei ordnungsgemäßer Verabreichung",251,225,610,1838
"J800","Atemnotsyndrom des Erwachsenen [ARDS]",264,238.5,719,1838
"G610","Guillain-Barré-Syndrom",265,243,68,9
"A491","Streptokokkeninfektion nicht näher bezeichneter Lokalisation",267.5,245.5,604,1838
"E106","Diabetes mellitus, Typ 1: Mit sonstigen näher bezeichneten Komplikationen",267.5,245.5,43,1838
"I426","Alkoholische Kardiomyopathie",267.5,245.5,689,1838
"M864","Chronische Osteomyelitis mit Fistel",267.5,245.5,720,1838
"C221","Intrahepatisches Gallengangskarzinom",270,546.5,729,1838
"C328","Bösartige Neubildung: Larynx, mehrere Teilbereiche überlappend",273,546.5,703,1838
"G248","Sonstige Dystonie",273,546.5,632,1838
"K571","Divertikulose des Dünndarmes ohne Perforation oder Abszess",273,546.5,678,1838
"N319","Neuromuskuläre Dysfunktion der Harnblase, nicht näher bezeichnet",273,546.5,151,1838
"N764","Abszess der Vulva",273,546.5,241,1838
"G232","Striatonigrale Degeneration",276,546.5,535,1838
"B159","Virushepatitis A ohne Coma hepaticum",302,546.5,494,1838
"C440","Sonstige bösartige Neubildungen: Lippenhaut",302,546.5,596,1838
"C55","Bösartige Neubildung des Uterus, Teil nicht näher bezeichnet",302,546.5,563,1838
"C671","Bösartige Neubildung: Apex vesicae",302,546.5,437,1838
"C719","Bösartige Neubildung: Gehirn, nicht näher bezeichnet",302,546.5,436,1838
"C784","Sekundäre bösartige Neubildung des Dünndarmes",302,546.5,85,1838
"C791","Sekundäre bösartige Neubildung der Harnblase sowie sonstiger und nicht näher bezeichneter Harnorgane",302,546.5,156,1838
"D012","Carcinoma in situ: Rektum",302,546.5,625,1838
"D300","Gutartige Neubildung: Niere",302,546.5,187,1838
"D34","Gutartige Neubildung der Schilddrüse",302,546.5,253,1838
"D372","Neubildung unsicheren oder unbekannten Verhaltens: Dünndarm",302,546.5,619,1838
"D380","Neubildung unsicheren oder unbekannten Verhaltens: Larynx",302,546.5,288,1838
"D434","Neubildung unsicheren oder unbekannten Verhaltens: Rückenmark",302,546.5,665,1838
"D518","Sonstige Vitamin-B12-Mangelanämien",302,546.5,414,1838
"F110","Psychische und Verhaltensstörungen durch Opioide: Akute Intoxikation [akuter Rausch]",302,546.5,308,1838
"F445","Dissoziative Krampfanfälle",302,546.5,318,1838
"G978","Sonstige Krankheiten des Nervensystems nach medizinischen Maßnahmen",302,546.5,116,1838
"H000","Hordeolum und sonstige tiefe Entzündung des Augenlides",302,546.5,353,1838
"I059","Mitralklappenkrankheit, nicht näher bezeichnet",302,546.5,655,1838
"I060","Rheumatische Aortenklappenstenose",302,546.5,84,1838
"I254","Koronararterienaneurysma",302,546.5,506,1838
"J938","Sonstiger Pneumothorax",302,546.5,221,1838
"K090","Entwicklungsbedingte odontogene Zysten",302,546.5,659,1838
"K228","Sonstige näher bezeichnete Krankheiten des Ösophagus",302,546.5,154,1838
"K262","Ulcus duodeni: Akut, mit Blutung und Perforation",302,546.5,435,1838
"K903","Pankreatogene Steatorrhoe",302,546.5,462,1838
"L209","Atopisches [endogenes] Ekzem, nicht näher bezeichnet",302,546.5,544,1838
"L890","Dekubitus 1. Grades",302,546.5,245,1838
"L980","Granuloma pediculatum [Granuloma pyogenicum]",302,546.5,662,1838
"M245","Gelenkkontraktur",302,546.5,429,1838
"M510","Lumbale und sonstige Bandscheibenschäden mit Myelopathie",302,546.5,180,1838
"M622","Ischämischer Muskelinfarkt (nichttraumatisch)",302,546.5,344,1838
"M624","Muskelkontraktur",302,546.5,185,1838
"M659","Synovitis und Tenosynovitis, nicht näher bezeichnet",302,546.5,579,1838
"M703","Sonstige Bursitis im Bereich des Ellenbogens",302,546.5,711,1838
"M711","Sonstige infektiöse Bursitis",302,546.5,279,1838
"M860","Akute hämatogene Osteomyelitis",302,546.5,530,1838
"M868","Sonstige Osteomyelitis",302,546.5,286,1838
"N508","Sonstige näher bezeichnete Krankheiten der männlichen Genitalorgane",302,546.5,647,1838
"N701","Chronische Salpingitis und Oophoritis",302,546.5,615,1838
"N751","Bartholin-Abszess",302,546.5,83,1838
"N871","Mittelgradige Dysplasie der Cervix uteri",302,546.5,495,1838
"R041","Blutung aus dem Rachen",302,546.5,232,1838
"R291","Meningismus",302,546.5,101,1838
"R441","Optische Halluzinationen",302,546.5,708,1838
"R578","Sonstige Formen des Schocks",302,546.5,362,1838
"S344","Verletzung des Plexus lumbosacralis",302,546.5,371,1838
"S500","Prellung des Ellenbogens",302,546.5,612,1838
"S644","Verletzung der Nn. digitales sonstiger Finger",302,546.5,207,1838
"S827","Multiple Frakturen des Unterschenkels",302,546.5,304,1838
"Z432","Versorgung eines Ileostomas",302,546.5,598,1838
"C159","Bösartige Neubildung: Ösophagus, nicht näher bezeichnet",328,546.5,699,1838
"F444","Dissoziative Bewegungsstörungen",330,546.5,314,1838
"M819","Osteoporose, nicht näher bezeichnet",330,546.5,224,1838
"M840","Frakturheilung in Fehlstellung",330,546.5,502,1838
"C820","Follikuläres Lymphom Grad I",332,546.5,426,1838
"C168","Bösartige Neubildung: Magen, mehrere Teilbereiche überlappend",333,546.5,225,1838
"C495","Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe des Beckens",335.5,315.5,457,1838
"D033","Melanoma in situ sonstiger und nicht näher bezeichneter Teile des Gesichtes",335.5,315.5,591,1838
"I241","Postmyokardinfarkt-Syndrom",335.5,315.5,726,1838
"Z951","Vorhandensein eines aortokoronaren Bypasses",335.5,315.5,197,1838
"C07","Bösartige Neubildung der Parotis",338.5,321.5,163,1838
"M317","Mikroskopische Polyangiitis",338.5,321.5,695,1838
"A151","Lungentuberkulose, nur durch Kultur gesichert",372,280,113,1838
"C449","Bösartige Neubildung der Haut, nicht näher bezeichnet",372,280,170,1838
"D330","Gutartige Neubildung: Gehirn, supratentoriell",372,280,692,1838
"D371","Neubildung unsicheren oder unbekannten Verhaltens: Magen",372,280,375,1838
"D430","Neubildung unsicheren oder unbekannten Verhaltens: Gehirn, supratentoriell",372,280,285,1838
"D471","Chronische myeloproliferative Krankheit",372,280,126,1838
"E040","Nichttoxische diffuse Struma",372,280,347,1838
"E118","Diabetes mellitus, Typ 2: Mit nicht näher bezeichneten Komplikationen",372,280,181,1838
"E789","Störung des Lipoproteinstoffwechsels, nicht näher bezeichnet",372,280,155,1838
"E890","Hypothyreose nach medizinischen Maßnahmen",372,280,269,1838
"F060","Organische Halluzinose",372,280,433,1838
"F220","Wahnhafte Störung",372,280,270,1838
"G060","Intrakranieller Abszess und intrakranielles Granulom",372,280,497,1838
"G231","Progressive supranukleäre Ophthalmoplegie [Steele-Richardson-Olszewski-Syndrom]",372,280,349,1838
"G250","Essentieller Tremor",372,280,167,1838
"G501","Atypischer Gesichtsschmerz",372,280,145,1838
"G933","Chronisches Müdigkeitssyndrom",372,280,109,1838
"H252","Cataracta senilis, Morgagni-Typ",372,280,571,1838
"H814","Schwindel zentralen Ursprungs",372,280,675,1838
"I451","Sonstiger und nicht näher bezeichneter Rechtsschenkelblock",372,280,252,1838
"I708","Atherosklerose sonstiger Arterien",372,280,262,1838
"I959","Hypotonie, nicht näher bezeichnet",372,280,640,1838
"J322","Chronische Sinusitis ethmoidalis",372,280,86,1838
"J387","Sonstige Krankheiten des Kehlkopfes",372,280,473,1838
"J704","Arzneimittelinduzierte interstitielle Lungenkrankheit, nicht näher bezeichnet",372,280,704,1838
"J851","Abszess der Lunge mit Pneumonie",372,280,623,1838
"J941","Fibrothorax",372,280,193,1838
"K025","Karies mit freiliegender Pulpa",372,280,208,1838
"K148","Sonstige Krankheiten der Zunge",372,280,142,1838
"K30","Funktionelle Dyspepsie",372,280,164,1838
"K513","Ulzeröse (chronische) Rektosigmoiditis",372,280,114,1838
"K520","Gastroenteritis und Kolitis durch Strahleneinwirkung",372,280,555,1838
"K601","Chronische Analfissur",372,280,479,1838
"K621","Rektumpolyp",372,280,191,1838
"K758","Sonstige näher bezeichnete entzündliche Leberkrankheiten",372,280,165,1838
"K860","Alkoholinduzierte chronische Pankreatitis",372,280,557,1838
"K900","Zöliakie",372,280,75,1838
"L309","Dermatitis, nicht näher bezeichnet",372,280,306,1838
"M158","Sonstige Polyarthrose",372,280,330,1838
"M533","Krankheiten der Sakrokokzygealregion, anderenorts nicht klassifiziert",372,280,470,1838
"N309","Zystitis, nicht näher bezeichnet",372,280,336,1838
"N432","Sonstige Hydrozele",372,280,44,1838
"N990","Nierenversagen nach medizinischen Maßnahmen",372,280,59,1838
"R798","Sonstige näher bezeichnete abnorme Befunde der Blutchemie",372,280,42,1838
