"ICD","Description","ICA","LGPS","RF","Lasso"
"T845","Infektion und entzündliche Reaktion durch eine Gelenkendoprothese",36,29,14,245.5
"I420","Dilatative Kardiomyopathie",37,24,93,245.5
"A418","Sonstige näher bezeichnete Sepsis",38,36,448,245.5
"A099","Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis nicht näher bezeichneten Ursprungs",39,31,439,245.5
"N178","Sonstiges akutes Nierenversagen",40,40,295,371.5
"L031","Phlegmone an sonstigen Teilen der Extremitäten",41,32,43,153
"C182","Bösartige Neubildung: Colon ascendens",42.5,49.5,19,3.5
"R139","Sonstige und nicht näher bezeichnete Dysphagie",42.5,49.5,444,15
"K590","Obstipation",44,41,445,232.5
"A047","Enterokolitis durch Clostridium difficile",45,42,449,232.5
"C678","Bösartige Neubildung: Harnblase, mehrere Teilbereiche überlappend",46,37,424,371.5
"T827","Infektion und entzündliche Reaktion durch sonstige Geräte, Implantate oder Transplantate im Herzen und in den Gefäßen",47,306.5,71,6
"C20","Bösartige Neubildung des Rektums",48.5,51.5,438,316
"L024","Hautabszess, Furunkel und Karbunkel an Extremitäten",48.5,51.5,384,325.5
"E052","Hyperthyreose mit toxischer mehrknotiger Struma",50.5,43.5,20,308
"R001","Bradykardie, nicht näher bezeichnet",50.5,43.5,15,286.5
"G402","Lokalisationsbezogene (fokale) (partielle) symptomatische Epilepsie und epileptische Syndrome mit komplexen fokalen Anfällen",52,35,450,345
"K432","Narbenhernie ohne Einklemmung und ohne Gangrän",53,45,422,345
"I498","Sonstige näher bezeichnete kardiale Arrhythmien",54,46,4,366.5
"G301","Alzheimer-Krankheit mit spätem Beginn",56.5,65.5,62,169
"I952","Hypotonie durch Arzneimittel",56.5,65.5,391,272
"K601","Chronische Analfissur",56.5,65.5,27,206.5
"S009","Oberflächliche Verletzung des Kopfes, Teil nicht näher bezeichnet",56.5,65.5,351,206.5
"F321","Mittelgradige depressive Episode",59.5,68.5,310,360.5
"M841","Nichtvereinigung der Frakturenden [Pseudarthrose]",59.5,68.5,428,186.5
"K250","Ulcus ventriculi: Akut, mit Blutung",61.5,53.5,378,387.5
"S066","Traumatische subarachnoidale Blutung",61.5,53.5,427,298.5
"K210","Gastroösophageale Refluxkrankheit mit Ösophagitis",63,55,18,153
"F322","Schwere depressive Episode ohne psychotische Symptome",64,47,10,272
"C343","Bösartige Neubildung: Unterlappen (-Bronchus)",65,48,79,67.5
"J961","Chronische respiratorische Insuffizienz, anderenorts nicht klassifiziert",66,62,453,110
"C341","Bösartige Neubildung: Oberlappen (-Bronchus)",67,63,6,298.5
"I839","Varizen der unteren Extremitäten ohne Ulzeration oder Entzündung",68,60.5,50,385
"B99","Sonstige und nicht näher bezeichnete Infektionskrankheiten",70.5,57.5,394,336.5
"I513","Intrakardiale Thrombose, anderenorts nicht klassifiziert",70.5,57.5,426,360.5
"J208","Akute Bronchitis durch sonstige näher bezeichnete Erreger",70.5,57.5,157,308
"R072","Präkordiale Schmerzen",70.5,57.5,460,259.5
"I255","Ischämische Kardiomyopathie",73,60.5,138,325.5
"L893","Dekubitus 4. Grades",74,74.5,31,206.5
"E050","Hyperthyreose mit diffuser Struma",76.5,71.5,238,186.5
"F454","Anhaltende Schmerzstörung",76.5,71.5,442,325.5
"K635","Polyp des Kolons",76.5,71.5,417,67.5
"M232","Meniskusschädigung durch alten Riss oder alte Verletzung",76.5,71.5,26,371.5
"G811","Spastische Hemiparese und Hemiplegie",79,74.5,110,232.5
"H353","Degeneration der Makula und des hinteren Poles",80,76,72,286.5
"D509","Eisenmangelanämie, nicht näher bezeichnet",83.5,306.5,230,32.5
"E876","Hypokaliämie",83.5,306.5,25,15
"H400","Glaukomverdacht",83.5,306.5,205,132.5
"J952","Akute pulmonale Insuffizienz nach nicht am Thorax vorgenommener Operation",83.5,306.5,211,345
"K528","Sonstige näher bezeichnete nichtinfektiöse Gastroenteritis und Kolitis",83.5,306.5,380,67.5
"K551","Chronische Gefäßkrankheiten des Darmes",83.5,306.5,228,67.5
"C509","Bösartige Neubildung: Brustdrüse, nicht näher bezeichnet",87.5,306.5,331,332.5
"F331","Rezidivierende depressive Störung, gegenwärtig mittelgradige Episode",87.5,306.5,319,89.5
"I330","Akute und subakute infektiöse Endokarditis",89.5,82.5,21,169
"J690","Pneumonie durch Nahrung oder Erbrochenes",89.5,82.5,55,381.5
"I493","Ventrikuläre Extrasystolie",93,79,250,345
"K253","Ulcus ventriculi: Akut, ohne Blutung oder Perforation",93,79,23,259.5
"K291","Sonstige akute Gastritis",93,79,454,340.5
"K296","Sonstige Gastritis",93,79,68,46.5
"N300","Akute Zystitis",93,79,312,222
"C679","Bösartige Neubildung: Harnblase, nicht näher bezeichnet",96.5,97,413,32.5
"G560","Karpaltunnel-Syndrom",96.5,97,433,286.5
"D649","Anämie, nicht näher bezeichnet",102.5,88.5,53,351.5
"F411","Generalisierte Angststörung",102.5,88.5,354,357
"G410","Grand-mal-Status",102.5,88.5,443,371.5
"I460","Herzstillstand mit erfolgreicher Wiederbelebung",102.5,88.5,379,89.5
"J958","Sonstige Krankheiten der Atemwege nach medizinischen Maßnahmen",102.5,88.5,119,132.5
"K641","Hämorrhoiden 2. Grades",102.5,88.5,436,153
"M478","Sonstige Spondylose",102.5,88.5,129,298.5
"M808","Sonstige Osteoporose mit pathologischer Fraktur",102.5,88.5,202,387.5
"R11","Übelkeit und Erbrechen",102.5,88.5,434,110
"S423","Fraktur des Humerusschaftes",102.5,88.5,134,298.5
"I421","Hypertrophische obstruktive Kardiomyopathie",110,97,441,153
"J841","Sonstige interstitielle Lungenkrankheiten mit Fibrose",110,97,425,259.5
"K550","Akute Gefäßkrankheiten des Darmes",110,97,286,186.5
"K746","Sonstige und nicht näher bezeichnete Zirrhose der Leber",110,97,455,1716
"M464","Diszitis, nicht näher bezeichnet",110,97,416,332.5
"G258","Sonstige näher bezeichnete extrapyramidale Krankheiten und Bewegungsstörungen",115.5,103.5,63,259.5
"L030","Phlegmone an Fingern und Zehen",115.5,103.5,17,169
"L97","Ulcus cruris, anderenorts nicht klassifiziert",115.5,103.5,67,298.5
"M968","Sonstige Krankheiten des Muskel-Skelett-Systems nach medizinischen Maßnahmen",115.5,103.5,74,383.5
"N133","Sonstige und nicht näher bezeichnete Hydronephrose",115.5,103.5,437,245.5
"R400","Somnolenz",115.5,103.5,446,351.5
"M255","Gelenkschmerz",119,107,103,32.5
"T835","Infektion und entzündliche Reaktion durch Prothese, Implantat oder Transplantat im Harntrakt",120,306.5,308,32.5
"C541","Bösartige Neubildung: Endometrium",121,306.5,430,153
"A080","Enteritis durch Rotaviren",138.5,306.5,56,15
"B349","Virusinfektion, nicht näher bezeichnet",138.5,306.5,89,32.5
"C349","Bösartige Neubildung: Bronchus oder Lunge, nicht näher bezeichnet",138.5,306.5,407,390
"C670","Bösartige Neubildung: Trigonum vesicae",138.5,306.5,207,153
"D171","Gutartige Neubildung des Fettgewebes der Haut und der Unterhaut des Rumpfes",138.5,306.5,92,15
"D376","Neubildung unsicheren oder unbekannten Verhaltens: Leber, Gallenblase und Gallengänge",138.5,306.5,220,67.5
"D400","Neubildung unsicheren oder unbekannten Verhaltens: Prostata",138.5,306.5,386,46.5
"D432","Neubildung unsicheren oder unbekannten Verhaltens: Gehirn, nicht näher bezeichnet",138.5,306.5,377,22.5
"E039","Hypothyreose, nicht näher bezeichnet",138.5,306.5,146,298.5
"E43","Nicht näher bezeichnete erhebliche Energie- und Eiweißmangelernährung",138.5,306.5,412,387.5
"F013","Gemischte kortikale und subkortikale vaskuläre Demenz",138.5,306.5,114,67.5
"F069","Nicht näher bezeichnete organische psychische Störung aufgrund einer Schädigung oder Funktionsstörung des Gehirns oder einer körperlichen Krankheit",138.5,306.5,251,186.5
"F412","Angst und depressive Störung, gemischt",138.5,306.5,269,46.5
"G240","Arzneimittelinduzierte Dystonie",138.5,306.5,123,67.5
"H358","Sonstige näher bezeichnete Affektionen der Netzhaut",138.5,306.5,388,132.5
"H405","Glaukom (sekundär) nach sonstigen Affektionen des Auges",138.5,306.5,169,400.5
"H539","Sehstörung, nicht näher bezeichnet",138.5,306.5,222,186.5
"I081","Krankheiten der Mitral- und Trikuspidalklappe, kombiniert",138.5,306.5,33,22.5
"I358","Sonstige Aortenklappenkrankheiten",138.5,306.5,162,67.5
"J151","Pneumonie durch Pseudomonas",138.5,306.5,54,89.5
"J320","Chronische Sinusitis maxillaris",138.5,306.5,402,67.5
"K859","Akute Pankreatitis, nicht näher bezeichnet",138.5,306.5,429,67.5
"M702","Bursitis olecrani",138.5,306.5,99,3.5
"M844","Pathologische Fraktur, anderenorts nicht klassifiziert",138.5,306.5,239,67.5
"N185","Chronische Nierenkrankheit, Stadium 5",138.5,306.5,58,1716
"N459","Orchitis, Epididymitis und Epididymoorchitis ohne Abszess",138.5,306.5,435,206.5
"N850","Glanduläre Hyperplasie des Endometriums",138.5,306.5,70,9.5
"N950","Postmenopausenblutung",138.5,306.5,159,67.5
"R410","Orientierungsstörung, nicht näher bezeichnet",138.5,306.5,264,110
"R778","Sonstige näher bezeichnete Veränderungen der Plasmaproteine",138.5,306.5,105,132.5
"R943","Abnorme Ergebnisse von kardiovaskulären Funktionsprüfungen",138.5,306.5,190,32.5
"S122","Fraktur eines sonstigen näher bezeichneten Halswirbels",138.5,306.5,82,67.5
"S626","Fraktur eines sonstigen Fingers",138.5,306.5,152,22.5
"T843","Mechanische Komplikation durch sonstige Knochengeräte, -implantate oder -transplantate",138.5,306.5,431,32.5
"C859","Non-Hodgkin-Lymphom, nicht näher bezeichnet",157.5,306.5,29,298.5
"H431","Glaskörperblutung",157.5,306.5,73,286.5
"I712","Aneurysma der Aorta thoracica, ohne Angabe einer Ruptur",157.5,306.5,41,286.5
"N135","Abknickung und Striktur des Ureters ohne Hydronephrose",157.5,306.5,408,222
"G912","Normaldruckhydrozephalus",160,306.5,45,110
"C250","Bösartige Neubildung: Pankreaskopf",161,135.5,52,407
"C441","Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus",174.5,120.5,267,399
"C65","Bösartige Neubildung des Nierenbeckens",174.5,120.5,329,336.5
"C851","B-Zell-Lymphom, nicht näher bezeichnet",174.5,120.5,126,383.5
"E114","Diabetes mellitus, Typ 2: Mit neurologischen Komplikationen",174.5,120.5,296,387.5
"F063","Organische affektive Störungen",174.5,120.5,421,169
"G408","Sonstige Epilepsien",174.5,120.5,206,186.5
"G621","Alkohol-Polyneuropathie",174.5,120.5,284,245.5
"I312","Hämoperikard, anderenorts nicht klassifiziert",174.5,120.5,348,46.5
"I339","Akute Endokarditis, nicht näher bezeichnet",174.5,120.5,97,286.5
"I808","Thrombose, Phlebitis und Thrombophlebitis sonstiger Lokalisationen",174.5,120.5,373,286.5
"J182","Hypostatische Pneumonie, nicht näher bezeichnet",174.5,120.5,277,357
"J342","Nasenseptumdeviation",174.5,120.5,400,286.5
"J449","Chronische obstruktive Lungenkrankheit, nicht näher bezeichnet",174.5,120.5,37,259.5
"K222","Ösophagusverschluss",174.5,120.5,51,381.5
"K260","Ulcus duodeni: Akut, mit Blutung",174.5,120.5,405,272
"K628","Sonstige näher bezeichnete Krankheiten des Anus und des Rektums",174.5,120.5,91,378
"M351","Sonstige Overlap-Syndrome",174.5,120.5,334,400.5
"M546","Schmerzen im Bereich der Brustwirbelsäule",174.5,120.5,113,1716
"M791","Myalgie",174.5,120.5,36,222
"N421","Kongestion und Blutung der Prostata",174.5,120.5,28,222
"N47","Vorhauthypertrophie, Phimose und Paraphimose",174.5,120.5,135,336.5
"N62","Hypertrophie der Mamma [Brustdrüse]",174.5,120.5,283,402.5
"R091","Pleuritis",174.5,120.5,332,206.5
"R391","Sonstige Miktionsstörungen",174.5,120.5,415,67.5
"S202","Prellung des Thorax",174.5,120.5,390,371.5
"S223","Rippenfraktur",174.5,120.5,410,1716
"K603","Analfistel",188,137.5,34,392
"T823","Mechanische Komplikation durch sonstige Gefäßtransplantate",189,134,343,132.5
"I716","Aortenaneurysma, thorakoabdominal, ohne Angabe einer Ruptur",190,135.5,304,206.5
"C187","Bösartige Neubildung: Colon sigmoideum",191,137.5,158,6
"C793","Sekundäre bösartige Neubildung des Gehirns und der Hirnhäute",193.5,140.5,47,316
"E139","Sonstiger näher bezeichneter Diabetes mellitus: Ohne Komplikationen",193.5,140.5,375,1716
"K226","Mallory-Weiss-Syndrom",193.5,140.5,191,272
"S801","Prellung sonstiger und nicht näher bezeichneter Teile des Unterschenkels",193.5,140.5,221,153
"C787","Sekundäre bösartige Neubildung der Leber und der intrahepatischen Gallengänge",196,306.5,311,46.5
"F078","Sonstige organische Persönlichkeits- und Verhaltensstörungen aufgrund einer Krankheit, Schädigung oder Funktionsstörung des Gehirns",197.5,306.5,61,272
"F112","Psychische und Verhaltensstörungen durch Opioide: Abhängigkeitssyndrom",197.5,306.5,60,89.5
"N321","Vesikointestinalfistel",199.5,306.5,338,110
"R18","Aszites",199.5,306.5,360,1716
"A049","Bakterielle Darminfektion, nicht näher bezeichnet",323.5,306.5,326,1716
"A150","Lungentuberkulose, durch mikroskopische Untersuchung des Sputums gesichert, mit oder ohne Nachweis durch Kultur oder molekularbiologische Verfahren",323.5,306.5,358,206.5
"A400","Sepsis durch Streptokokken, Gruppe A",323.5,306.5,176,1716
"A401","Sepsis durch Streptokokken, Gruppe B",323.5,306.5,376,395
"A414","Sepsis durch Anaerobier",323.5,306.5,187,132.5
"A498","Sonstige bakterielle Infektionen nicht näher bezeichneter Lokalisation",323.5,306.5,96,286.5
"B027","Zoster generalisatus",323.5,306.5,265,132.5
"B029","Zoster ohne Komplikation",323.5,306.5,268,396.5
"C151","Bösartige Neubildung: Thorakaler Ösophagus",323.5,306.5,168,1716
"C168","Bösartige Neubildung: Magen, mehrere Teilbereiche überlappend",323.5,306.5,144,1716
"C258","Bösartige Neubildung: Pankreas, mehrere Teilbereiche überlappend",323.5,306.5,235,1716
"C348","Bösartige Neubildung: Bronchus und Lunge, mehrere Teilbereiche überlappend",323.5,306.5,306,89.5
"C384","Bösartige Neubildung: Pleura",323.5,306.5,141,110
"C446","Sonstige bösartige Neubildungen: Haut der oberen Extremität, einschließlich Schulter",323.5,306.5,364,132.5
"C494","Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe des Abdomens",323.5,306.5,274,132.5
"C499","Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe, nicht näher bezeichnet",323.5,306.5,302,153
"C519","Bösartige Neubildung: Vulva, nicht näher bezeichnet",323.5,306.5,177,308
"C538","Bösartige Neubildung: Cervix uteri, mehrere Teilbereiche überlappend",323.5,306.5,197,46.5
"C671","Bösartige Neubildung: Apex vesicae",323.5,306.5,327,1716
"C689","Bösartige Neubildung: Harnorgan, nicht näher bezeichnet",323.5,306.5,252,169
"C710","Bösartige Neubildung: Zerebrum, ausgenommen Hirnlappen und Ventrikel",323.5,306.5,278,132.5
"C749","Bösartige Neubildung: Nebenniere, nicht näher bezeichnet",323.5,306.5,160,272
"C781","Sekundäre bösartige Neubildung des Mediastinums",323.5,306.5,333,110
"C786","Sekundäre bösartige Neubildung des Retroperitoneums und des Peritoneums",323.5,306.5,208,1716
"C788","Sekundäre bösartige Neubildung sonstiger und nicht näher bezeichneter Verdauungsorgane",323.5,306.5,356,110
"C791","Sekundäre bösartige Neubildung der Harnblase sowie sonstiger und nicht näher bezeichneter Harnorgane",323.5,306.5,256,1716
"C794","Sekundäre bösartige Neubildung sonstiger und nicht näher bezeichneter Teile des Nervensystems",323.5,306.5,165,1716
"C796","Sekundäre bösartige Neubildung des Ovars",323.5,306.5,111,245.5
"C799","Sekundäre bösartige Neubildung nicht näher bezeichneter Lokalisation",323.5,306.5,347,186.5
"C821","Follikuläres Lymphom Grad II",323.5,306.5,350,1716
"C844","Peripheres T-Zell-Lymphom, nicht spezifiziert",323.5,306.5,122,89.5
"D010","Carcinoma in situ: Kolon",323.5,306.5,151,89.5
"D049","Carcinoma in situ: Haut, nicht näher bezeichnet",323.5,306.5,127,22.5
"D051","Carcinoma in situ der Milchgänge",323.5,306.5,84,186.5
"D107","Gutartige Neubildung: Hypopharynx",323.5,306.5,150,1716
"D127","Gutartige Neubildung: Rektosigmoid, Übergang",323.5,306.5,315,1716
"D151","Gutartige Neubildung: Herz",323.5,306.5,81,89.5
"D161","Gutartige Neubildung des Knochens und des Gelenkknorpels: Kurze Knochen der oberen Extremität",323.5,306.5,59,89.5
"D172","Gutartige Neubildung des Fettgewebes der Haut und der Unterhaut der Extremitäten",323.5,306.5,170,132.5
"D179","Gutartige Neubildung des Fettgewebes, nicht näher bezeichnet",323.5,306.5,196,132.5
"D210","Sonstige gutartige Neubildungen: Bindegewebe und andere Weichteilgewebe des Kopfes, des Gesichtes und des Halses",323.5,306.5,166,110
"D237","Sonstige gutartige Neubildungen: Haut der unteren Extremität, einschließlich Hüfte",323.5,306.5,178,316
"D24","Gutartige Neubildung der Brustdrüse [Mamma]",323.5,306.5,163,9.5
"D334","Gutartige Neubildung: Rückenmark",323.5,306.5,321,206.5
"D371","Neubildung unsicheren oder unbekannten Verhaltens: Magen",323.5,306.5,164,186.5
"D413","Neubildung unsicheren oder unbekannten Verhaltens: Urethra",323.5,306.5,440,9.5
"D441","Neubildung unsicheren oder unbekannten Verhaltens: Nebenniere",323.5,306.5,262,286.5
"D477","Sonstige näher bezeichnete Neubildungen unsicheren oder unbekannten Verhaltens des lymphatischen, blutbildenden und verwandten Gewebes",323.5,306.5,106,186.5
"D481","Neubildung unsicheren oder unbekannten Verhaltens: Bindegewebe und andere Weichteilgewebe",323.5,306.5,184,153
"D485","Neubildung unsicheren oder unbekannten Verhaltens: Haut",323.5,306.5,236,1716
"D500","Eisenmangelanämie nach Blutverlust (chronisch)",323.5,306.5,342,345
"D513","Sonstige alimentäre Vitamin-B12-Mangelanämie",323.5,306.5,406,67.5
"D648","Sonstige näher bezeichnete Anämien",323.5,306.5,345,1716
"D695","Sekundäre Thrombozytopenie",323.5,306.5,182,153
"D735","Infarzierung der Milz",323.5,306.5,398,206.5
"D862","Sarkoidose der Lunge mit Sarkoidose der Lymphknoten",323.5,306.5,118,1716
"D90","Immunkompromittierung nach Bestrahlung, Chemotherapie und sonstigen immunsuppressiven Maßnahmen",323.5,306.5,258,169
"E041","Nichttoxischer solitärer Schilddrüsenknoten",323.5,306.5,173,22.5
"E100","Diabetes mellitus, Typ 1: Mit Koma",323.5,306.5,155,32.5
"E101","Diabetes mellitus, Typ 1: Mit Ketoazidose",323.5,306.5,120,169
"E109","Diabetes mellitus, Typ 1: Ohne Komplikationen",323.5,306.5,192,132.5
"E111","Diabetes mellitus, Typ 2: Mit Ketoazidose",323.5,306.5,167,132.5
"E136","Sonstiger näher bezeichneter Diabetes mellitus: Mit sonstigen näher bezeichneten Komplikationen",323.5,306.5,248,259.5
"E160","Arzneimittelinduzierte Hypoglykämie ohne Koma",323.5,306.5,399,206.5
"E222","Syndrom der inadäquaten Sekretion von Adiuretin",323.5,306.5,355,46.5
"E561","Vitamin-K-Mangel",323.5,306.5,133,110
"E784","Sonstige Hyperlipidämien",323.5,306.5,247,325.5
"E788","Sonstige Störungen des Lipoproteinstoffwechsels",323.5,306.5,76,32.5
"E853","Sekundäre systemische Amyloidose",323.5,306.5,254,1716
"E859","Amyloidose, nicht näher bezeichnet",323.5,306.5,226,316
"E872","Azidose",323.5,306.5,137,153
"E873","Alkalose",323.5,306.5,246,1716
"F019","Vaskuläre Demenz, nicht näher bezeichnet",323.5,306.5,259,1716
"F067","Leichte kognitive Störung",323.5,306.5,368,308
"F419","Angststörung, nicht näher bezeichnet",323.5,306.5,145,1716
"G211","Sonstiges arzneimittelinduziertes Parkinson-Syndrom",323.5,306.5,87,169
"G214","Vaskuläres Parkinson-Syndrom",323.5,306.5,108,222
"G244","Idiopathische orofaziale Dystonie",323.5,306.5,153,394
"G318","Sonstige näher bezeichnete degenerative Krankheiten des Nervensystems",323.5,306.5,95,67.5
"G378","Sonstige näher bezeichnete demyelinisierende Krankheiten des Zentralnervensystems",323.5,306.5,313,153
"G400","Lokalisationsbezogene (fokale) (partielle) idiopathische Epilepsie und epileptische Syndrome mit fokal beginnenden Anfällen",323.5,306.5,147,232.5
"G478","Sonstige Schlafstörungen",323.5,306.5,272,1716
"G562","Läsion des N. ulnaris",323.5,306.5,353,67.5
"G710","Muskeldystrophie",323.5,306.5,419,132.5
"G729","Myopathie, nicht näher bezeichnet",323.5,306.5,366,232.5
"G910","Hydrocephalus communicans",323.5,306.5,371,46.5
"G951","Vaskuläre Myelopathien",323.5,306.5,109,371.5
"G968","Sonstige näher bezeichnete Krankheiten des Zentralnervensystems",323.5,306.5,219,316
"H023","Blepharochalasis",323.5,306.5,359,132.5
"H160","Ulcus corneae",323.5,306.5,186,1716
"H185","Hereditäre Hornhautdystrophien",323.5,306.5,385,169
"H252","Cataracta senilis, Morgagni-Typ",323.5,306.5,100,153
"H270","Aphakie",323.5,306.5,335,67.5
"H341","Verschluss der A. centralis retinae",323.5,306.5,253,363.5
"H402","Primäres Engwinkelglaukom",323.5,306.5,325,110
"H618","Sonstige näher bezeichnete Krankheiten des äußeren Ohres",323.5,306.5,411,222
"H71","Cholesteatom des Mittelohres",323.5,306.5,279,132.5
"H903","Beidseitiger Hörverlust durch Schallempfindungsstörung",323.5,306.5,263,345
"I059","Mitralklappenkrankheit, nicht näher bezeichnet",323.5,306.5,131,272
"I150","Renovaskuläre Hypertonie",323.5,306.5,318,186.5
"I201","Angina pectoris mit nachgewiesenem Koronarspasmus",323.5,306.5,231,308
"I241","Postmyokardinfarkt-Syndrom",323.5,306.5,193,325.5
"I249","Akute ischämische Herzkrankheit, nicht näher bezeichnet",323.5,306.5,121,222
"I256","Stumme Myokardischämie",323.5,306.5,229,169
"I311","Chronische konstriktive Perikarditis",323.5,306.5,213,272
"I348","Sonstige nichtrheumatische Mitralklappenkrankheiten",323.5,306.5,339,245.5
"I456","Präexzitations-Syndrom",323.5,306.5,139,67.5
"I469","Herzstillstand, nicht näher bezeichnet",323.5,306.5,199,67.5
"I607","Subarachnoidalblutung, von nicht näher bezeichneter intrakranieller Arterie ausgehend",323.5,306.5,314,222
"I608","Sonstige Subarachnoidalblutung",323.5,306.5,117,371.5
"I871","Venenkompression",323.5,306.5,298,286.5
"I99","Sonstige und nicht näher bezeichnete Krankheiten des Kreislaufsystems",323.5,306.5,344,186.5
"J328","Sonstige chronische Sinusitis",323.5,306.5,393,132.5
"J343","Hypertrophie der Nasenmuscheln",323.5,306.5,116,132.5
"J36","Peritonsillarabszess",323.5,306.5,322,393
"J381","Polyp der Stimmlippen und des Kehlkopfes",323.5,306.5,340,169
"J410","Einfache chronische Bronchitis",323.5,306.5,44,32.5
"J931","Sonstiger Spontanpneumothorax",323.5,306.5,292,1716
"J940","Chylöser (Pleura-) Erguss",323.5,306.5,281,1716
"J969","Respiratorische Insuffizienz, nicht näher bezeichnet",323.5,306.5,234,378
"J989","Atemwegskrankheit, nicht näher bezeichnet",323.5,306.5,369,405
"K047","Periapikaler Abszess ohne Fistel",323.5,306.5,171,404
"K081","Zahnverlust durch Unfall, Extraktion oder lokalisierte parodontale Krankheit",323.5,306.5,183,245.5
"K083","Verbliebene Zahnwurzel",323.5,306.5,423,153
"K122","Phlegmone und Abszess des Mundes",323.5,306.5,209,406
"K225","Divertikel des Ösophagus, erworben",323.5,306.5,289,378
"K263","Ulcus duodeni: Akut, ohne Blutung oder Perforation",323.5,306.5,156,186.5
"K294","Chronische atrophische Gastritis",323.5,306.5,241,366.5
"K311","Hypertrophische Pylorusstenose beim Erwachsenen",323.5,306.5,276,1716
"K317","Polyp des Magens und des Duodenums",323.5,306.5,115,15
"K404","Hernia inguinalis, einseitig oder ohne Seitenangabe, mit Gangrän",323.5,306.5,130,89.5
"K430","Narbenhernie mit Einklemmung, ohne Gangrän",323.5,306.5,389,206.5
"K440","Hernia diaphragmatica mit Einklemmung, ohne Gangrän",323.5,306.5,336,245.5
"K510","Ulzeröse (chronische) Pankolitis",323.5,306.5,291,325.5
"K513","Ulzeröse (chronische) Rektosigmoiditis",323.5,306.5,216,1716
"K515","Linksseitige Kolitis",323.5,306.5,200,222
"K518","Sonstige Colitis ulcerosa",323.5,306.5,245,186.5
"K559","Gefäßkrankheit des Darmes, nicht näher bezeichnet",323.5,306.5,214,396.5
"K560","Paralytischer Ileus",323.5,306.5,179,1716
"K598","Sonstige näher bezeichnete funktionelle Darmstörungen",323.5,306.5,290,1716
"K605","Anorektalfistel",323.5,306.5,66,110
"K623","Rektumprolaps",323.5,306.5,69,15
"K631","Perforation des Darmes (nichttraumatisch)",323.5,306.5,316,272
"K633","Darmulkus",323.5,306.5,240,308
"K643","Hämorrhoiden 4. Grades",323.5,306.5,280,89.5
"K649","Hämorrhoiden, nicht näher bezeichnet",323.5,306.5,174,408
"K658","Sonstige Peritonitis",323.5,306.5,323,1716
"K704","Alkoholisches Leberversagen",323.5,306.5,242,316
"K712","Toxische Leberkrankheit mit akuter Hepatitis",323.5,306.5,201,1716
"K720","Akutes und subakutes Leberversagen",323.5,306.5,161,1716
