"ICD","Description","ICA","LGPS","RF","Lasso"
"K801","Gallenblasenstein mit sonstiger Cholezystitis",52,30,14,674.5
"K590","Obstipation",53,33,7,822
"N302","Sonstige chronische Zystitis",54,90,183,536
"K226","Mallory-Weiss-Syndrom",55,135,248,49
"N201","Ureterstein",56,22,5,959.5
"T842","Mechanische Komplikation durch eine interne Osteosynthesevorrichtung an sonstigen Knochen",57,105,42,455.5
"H330","Netzhautablösung mit Netzhautriss",58,59,36,408
"F410","Panikstörung [episodisch paroxysmale Angst]",59,66,26,49
"M255","Gelenkschmerz",60,28,1032.5,408
"N300","Akute Zystitis",61,31,43,408
"F063","Organische affektive Störungen",62,83,151,674.5
"D649","Anämie, nicht näher bezeichnet",63.5,81.5,678,863
"J449","Chronische obstruktive Lungenkrankheit, nicht näher bezeichnet",63.5,81.5,1008,109.5
"T828","Sonstige näher bezeichnete Komplikationen durch Prothesen, Implantate oder Transplantate im Herzen und in den Gefäßen",65,40,23,990.5
"J841","Sonstige interstitielle Lungenkrankheiten mit Fibrose",66,61,28,640
"M464","Diszitis, nicht näher bezeichnet",67,60,291,8.5
"K210","Gastroösophageale Refluxkrankheit mit Ösophagitis",68,34,29,408
"I272","Sonstige näher bezeichnete sekundäre pulmonale Hypertonie",69,42,17,3.5
"K564","Sonstige Obturation des Darmes",70,35,294,990.5
"F331","Rezidivierende depressive Störung, gegenwärtig mittelgradige Episode",71,36,104,930.5
"F453","Somatoforme autonome Funktionsstörung",72,109,785,674.5
"R139","Sonstige und nicht näher bezeichnete Dysphagie",73,75,102,714.5
"T818","Sonstige Komplikationen bei Eingriffen, anderenorts nicht klassifiziert",74,37,1016,305.5
"C441","Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus",75,121,52,228.5
"H259","Senile Katarakt, nicht näher bezeichnet",76,188,227,351.5
"G401","Lokalisationsbezogene (fokale) (partielle) symptomatische Epilepsie und epileptische Syndrome mit einfachen fokalen Anfällen",77,86,992,744
"K811","Chronische Cholezystitis",78,165,915,75.5
"K254","Ulcus ventriculi: Chronisch oder nicht näher bezeichnet, mit Blutung",79,166,373,611
"K102","Entzündliche Zustände der Kiefer",80,146.5,117,49
"D123","Gutartige Neubildung: Colon transversum",81,146.5,225,75.5
"E875","Hyperkaliämie",82,145,910,536
"K290","Akute hämorrhagische Gastritis",83,43,24,744
"C793","Sekundäre bösartige Neubildung des Gehirns und der Hirnhäute",84,72,993,785.5
"C786","Sekundäre bösartige Neubildung des Retroperitoneums und des Peritoneums",85.5,70.5,190,611
"R33","Harnverhaltung",85.5,70.5,135,351.5
"I509","Herzinsuffizienz, nicht näher bezeichnet",87,78,971,896.5
"F454","Anhaltende Schmerzstörung",88,51,60,536
"H811","Benigner paroxysmaler Schwindel",89,50,547,611
"R53","Unwohlsein und Ermüdung",90,53,1029,268.5
"M202","Hallux rigidus",91,110,912,29
"S063","Umschriebene Hirnverletzung",92,114,63,184
"R91","Abnorme Befunde bei der bildgebenden Diagnostik der Lunge",93,113,1020,268.5
"N328","Sonstige näher bezeichnete Krankheiten der Harnblase",94,47,1009,455.5
"J961","Chronische respiratorische Insuffizienz, anderenorts nicht klassifiziert",95,45,1014,844
"H812","Neuropathia vestibularis",96,67,110,575.5
"J448","Sonstige näher bezeichnete chronische obstruktive Lungenkrankheit",97,46,919,674.5
"R296","Sturzneigung, anderenorts nicht klassifiziert",98,64,85,844
"K260","Ulcus duodeni: Akut, mit Blutung",99,63,81,863
"S010","Offene Wunde der behaarten Kopfhaut",100,148,853,351.5
"E876","Hypokaliämie",101,79,46,575.5
"N921","Zu starke oder zu häufige Menstruation bei unregelmäßigem Menstruationszyklus",102,167,999,109.5
"T827","Infektion und entzündliche Reaktion durch sonstige Geräte, Implantate oder Transplantate im Herzen und in den Gefäßen",103,57,62,408
"K746","Sonstige und nicht näher bezeichnete Zirrhose der Leber",104,116,51,744
"R18","Aszites",105,115,394,351.5
"I255","Ischämische Kardiomyopathie",106,52,180,144.5
"I958","Sonstige Hypotonie",107,211,990,49
"N320","Blasenhalsobstruktion",108,100,68,879.5
"R590","Lymphknotenvergrößerung, umschrieben",109,99,1025,408
"C900","Multiples Myelom",110,101,31,144.5
"R11","Übelkeit und Erbrechen",111,62,58,536
"S800","Prellung des Knies",112,106,277,408
"I460","Herzstillstand mit erfolgreicher Wiederbelebung",113,92,27,184
"K088","Sonstige näher bezeichnete Krankheiten der Zähne und des Zahnhalteapparates",114,126,1026,844
"C348","Bösartige Neubildung: Bronchus und Lunge, mehrere Teilbereiche überlappend",115,74,406,351.5
"G301","Alzheimer-Krankheit mit spätem Beginn",116,73,19,674.5
"K805","Gallengangsstein ohne Cholangitis oder Cholezystitis",117,65,979,970.5
"Z080","Nachuntersuchung nach chirurgischem Eingriff wegen bösartiger Neubildung",118,137,980,408
"F013","Gemischte kortikale und subkortikale vaskuläre Demenz",119,136,382,109.5
"K642","Hämorrhoiden 3. Grades",120,68,1006,228.5
"S701","Prellung des Oberschenkels",121,85,113,975.5
"M238","Sonstige Binnenschädigungen des Kniegelenkes",122,149,457,109.5
"M000","Arthritis und Polyarthritis durch Staphylokokken",123,122,107,144.5
"Z932","Vorhandensein eines Ileostomas",124,169.5,739,109.5
"Z031","Beobachtung bei Verdacht auf bösartige Neubildung",125,168,54,29
"K221","Ösophagusulkus",126,169.5,1028,766
"G406","Grand-mal-Anfälle, nicht näher bezeichnet (mit oder ohne Petit mal)",127,95,707,863
"G629","Polyneuropathie, nicht näher bezeichnet",128,94,977,994
"S000","Oberflächliche Verletzung der behaarten Kopfhaut",129,127,76,803
"Z098","Nachuntersuchung nach sonstiger Behandlung wegen anderer Krankheitszustände",130,189,991,109.5
"I770","Arteriovenöse Fistel, erworben",131,190,140,714.5
"I615","Intrazerebrale intraventrikuläre Blutung",132,191,516,714.5
"R042","Hämoptoe",133,103,1013,970.5
"Z921","Dauertherapie (gegenwärtig) mit Antikoagulanzien in der Eigenanamnese",134,84,308,16.5
"D251","Intramurales Leiomyom des Uterus",135,87,929,455.5
"F050","Delir ohne Demenz",136,88,90,575.5
"N135","Abknickung und Striktur des Ureters ohne Hydronephrose",137,117,6,268.5
"C447","Sonstige bösartige Neubildungen: Haut der unteren Extremität, einschließlich Hüfte",138,138,889,29
"S202","Prellung des Thorax",139,96,71,714.5
"H258","Sonstige senile Kataraktformen",140,97,99,144.5
"T830","Mechanische Komplikation durch einen Harnwegskatheter (Verweilkatheter)",141,225,978,109.5
"S122","Fraktur eines sonstigen näher bezeichneten Halswirbels",142,226,132,803
"C445","Sonstige bösartige Neubildungen: Haut des Rumpfes",143,153,69,536
"C259","Bösartige Neubildung: Pankreas, nicht näher bezeichnet",144,152,311,536
"J984","Sonstige Veränderungen der Lunge",145,150,996,144.5
"C798","Sekundäre bösartige Neubildung sonstiger näher bezeichneter Lokalisationen",146,151,958,744
"S065","Traumatische subdurale Blutung",147,93,18,408
"J182","Hypostatische Pneumonie, nicht näher bezeichnet",148,104,935,959.5
"D125","Gutartige Neubildung: Colon sigmoideum",150,129,1027,982.5
"E114","Diabetes mellitus, Typ 2: Mit neurologischen Komplikationen",150,129,961,766
"K640","Hämorrhoiden 1. Grades",150,129,920,575.5
"C160","Bösartige Neubildung: Kardia",152,131,87,496
"K710","Toxische Leberkrankheit mit Cholestase",153,805.5,799,536
"D250","Submuköses Leiomyom des Uterus",154,171,781,184
"K810","Akute Cholezystitis",155,98,196,879.5
"L893","Dekubitus 4. Grades",156,111,114,674.5
"F450","Somatisierungsstörung",157,123,50,536
"I330","Akute und subakute infektiöse Endokarditis",158,112,49,803
"A402","Sepsis durch Streptokokken, Gruppe D",159.5,192.5,870,184
"N210","Stein in der Harnblase",159.5,192.5,984,75.5
"I620","Subdurale Blutung (nichttraumatisch)",161,155,863,408
"Z867","Krankheiten des Kreislaufsystems in der Eigenanamnese",162,154,952,785.5
"I890","Lymphödem, anderenorts nicht klassifiziert",163,118,1000,496
"K861","Sonstige chronische Pankreatitis",164,119,72,766
"C782","Sekundäre bösartige Neubildung der Pleura",165,132,330,536
"I611","Intrazerebrale Blutung in die Großhirnhemisphäre, kortikal",166,212,188,674.5
"K703","Alkoholische Leberzirrhose",167,175,157,575.5
"C911","Chronische lymphatische Leukämie vom B-Zell-Typ [CLL]",168,176,64,674.5
"Z430","Versorgung eines Tracheostomas",169,174,1021,455.5
"K317","Polyp des Magens und des Duodenums",170.5,172.5,91,536
"N421","Kongestion und Blutung der Prostata",170.5,172.5,302,305.5
"S626","Fraktur eines sonstigen Fingers",172,230,668,75.5
"H441","Sonstige Endophthalmitis",174,228,618,228.5
"I612","Intrazerebrale Blutung in die Großhirnhemisphäre, nicht näher bezeichnet",174,228,242,75.5
"I616","Intrazerebrale Blutung an mehreren Lokalisationen",174,228,800,49
"K660","Peritoneale Adhäsionen",176,120,695,942.5
"C792","Sekundäre bösartige Neubildung der Haut",177.5,197.5,299,305.5
"H268","Sonstige näher bezeichnete Kataraktformen",177.5,197.5,1030,496
"H810","Ménière-Krankheit",180,195,61,611
"R130","Dysphagie mit Beaufsichtigungspflicht während der Nahrungsaufnahme",180,195,152,75.5
"S023","Fraktur des Orbitabodens",180,195,74,184
"M192","Sonstige sekundäre Arthrose",182,156,721,49
"N950","Postmenopausenblutung",183,124,119,744
"I970","Postkardiotomie-Syndrom",185,243,903,109.5
"J938","Sonstiger Pneumothorax",185,243,838,144.5
"R931","Abnorme Befunde bei der bildgebenden Diagnostik des Herzens und des Koronarkreislaufes",185,243,497,109.5
"F106","Psychische und Verhaltensstörungen durch Alkohol: Amnestisches Syndrom",187,246,456,268.5
"T852","Mechanische Komplikation durch eine intraokulare Linse",188,245,159,982.5
"I270","Primäre pulmonale Hypertonie",189,140,475,455.5
"I513","Intrakardiale Thrombose, anderenorts nicht klassifiziert",190,139,283,879.5
"K558","Sonstige Gefäßkrankheiten des Darmes",191,179,202,714.5
"K219","Gastroösophageale Refluxkrankheit ohne Ösophagitis",192.5,177.5,680,305.5
"K920","Hämatemesis",192.5,177.5,1004,674.5
"L400","Psoriasis vulgaris",194,180,21,109.5
"C220","Leberzellkarzinom",195,181,40,863
"L892","Dekubitus 3. Grades",196,214,1002,305.5
"D350","Gutartige Neubildung: Nebenniere",197,213,1010,496
"D128","Gutartige Neubildung: Rektum",198,133,282,674.5
"G912","Normaldruckhydrozephalus",199,160,871,714.5
"I872","Venöse Insuffizienz (chronisch) (peripher)",200,158,336,896.5
"T855","Mechanische Komplikation durch gastrointestinale Prothesen, Implantate oder Transplantate",201,159,274,822
"D303","Gutartige Neubildung: Harnblase",202,157,270,917.5
"C794","Sekundäre bösartige Neubildung sonstiger und nicht näher bezeichneter Teile des Nervensystems",203.5,805.5,625,16.5
"I469","Herzstillstand, nicht näher bezeichnet",203.5,805.5,718,29
"F121","Psychische und Verhaltensstörungen durch Cannabinoide: Schädlicher Gebrauch",205,805.5,121,109.5
"N185","Chronische Nierenkrankheit, Stadium 5",206,204,353,930.5
"N202","Nierenstein und Ureterstein gleichzeitig",207,202,361,305.5
"M245","Gelenkkontraktur",208.5,199.5,936,144.5
"M246","Ankylose eines Gelenkes",208.5,199.5,53,228.5
"F431","Posttraumatische Belastungsstörung",210.5,202,932,744
"K603","Analfistel",210.5,202,1001,844
"K122","Phlegmone und Abszess des Mundes",212.5,141.5,124,228.5
"Z034","Beobachtung bei Verdacht auf Herzinfarkt",212.5,141.5,70,822
"M254","Gelenkerguss",214,143,964,844
"T831","Mechanische Komplikation durch sonstige Geräte oder Implantate im Harntrakt",215.5,231.5,845,979.5
"Z087","Nachuntersuchung nach Kombinationstherapie wegen bösartiger Neubildung",215.5,231.5,921,744
"C442","Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges",217,182,34,803
"G454","Transiente globale Amnesie [amnestische Episode]",218,161,965,674.5
"C770","Sekundäre und nicht näher bezeichnete bösartige Neubildung: Lymphknoten des Kopfes, des Gesichtes und des Halses",219,162,191,766
"S730","Luxation der Hüfte",220,144,1031,75.5
"M805","Idiopathische Osteoporose mit pathologischer Fraktur",221,252,231,351.5
"E790","Hyperurikämie ohne Zeichen von entzündlicher Arthritis oder tophischer Gicht",223.5,248.5,109,5.5
"N850","Glanduläre Hyperplasie des Endometriums",223.5,248.5,146,109.5
"R05","Husten",223.5,248.5,611,496
"R065","Mundatmung",223.5,248.5,930,496
"L023","Hautabszess, Furunkel und Karbunkel am Gesäß",226.5,252,161,766
"N318","Sonstige neuromuskuläre Dysfunktion der Harnblase",226.5,252,729,973
"K760","Fettleber [fettige Degeneration], anderenorts nicht klassifiziert",228,205,94,611
"L984","Chronisches Ulkus der Haut, anderenorts nicht klassifiziert",229,184,803,714.5
"D122","Gutartige Neubildung: Colon ascendens",230,186,66,611
"G409","Epilepsie, nicht näher bezeichnet",231.5,184,866,575.5
"J450","Vorwiegend allergisches Asthma bronchiale",231.5,184,103,455.5
"K641","Hämorrhoiden 2. Grades",233,163,141,714.5
"R570","Kardiogener Schock",234,215.5,966,785.5
"T874","Infektion des Amputationsstumpfes",235,215.5,427,785.5
"C449","Bösartige Neubildung der Haut, nicht näher bezeichnet",240.5,274.5,221,109.5
"G825","Tetraparese und Tetraplegie, nicht näher bezeichnet",240.5,274.5,779,109.5
"H045","Stenose und Insuffizienz der Tränenwege",240.5,274.5,835,575.5
"K293","Chronische Oberflächengastritis",240.5,274.5,957,924.5
"M810","Postmenopausale Osteoporose",240.5,274.5,441,109.5
"M868","Sonstige Osteomyelitis",240.5,274.5,298,268.5
"S018","Offene Wunde sonstiger Teile des Kopfes",240.5,274.5,891,228.5
"S500","Prellung des Ellenbogens",240.5,274.5,80,184
"T817","Gefäßkomplikationen nach einem Eingriff, anderenorts nicht klassifiziert",240.5,274.5,438,49
"T820","Mechanische Komplikation durch eine Herzklappenprothese",240.5,274.5,295,455.5
"C154","Bösartige Neubildung: Ösophagus, mittleres Drittel",246,280,944,144.5
"K227","Barrett-Ösophagus",247,208,883,575.5
"E051","Hyperthyreose mit toxischem solitärem Schilddrüsenknoten",248.5,206.5,138,351.5
"Z950","Vorhandensein eines kardialen elektronischen Geräts",248.5,206.5,923,536
"S430","Luxation des Schultergelenkes [Glenohumeralgelenk]",250,209,35,455.5
"E662","Übermäßige Adipositas mit alveolärer Hypoventilation",251,187,44,766
"J36","Peritonsillarabszess",253,255,375,575.5
"K600","Akute Analfissur",253,255,142,879.5
"S808","Sonstige oberflächliche Verletzungen des Unterschenkels",253,255,240,351.5
"I618","Sonstige intrazerebrale Blutung",255,233,45,1000.5
"J950","Funktionsstörung eines Tracheostomas",256,221,913,575.5
"E107","Diabetes mellitus, Typ 1: Mit multiplen Komplikationen",257.5,219.5,57,822
"S068","Sonstige intrakranielle Verletzungen",257.5,219.5,224,575.5
"F430","Akute Belastungsreaktion",259.5,217.5,1005,408
"G562","Läsion des N. ulnaris",259.5,217.5,887,917.5
"C186","Bösartige Neubildung: Colon descendens",261,222,271,49
"C221","Intrahepatisches Gallengangskarzinom",262,210,331,640
"H492","Lähmung des N. abducens [VI. Hirnnerv]",263,805.5,233,144.5
"F310","Bipolare affektive Störung, gegenwärtig hypomanische Episode",265,805.5,973,75.5
"I950","Idiopathische Hypotonie",265,805.5,1017,109.5
"T460","Vergiftung: Herzglykoside und Arzneimittel mit ähnlicher Wirkung",265,805.5,574,75.5
"N924","Zu starke Blutung in der Prämenopause",267,290,115,228.5
"C151","Bösartige Neubildung: Thorakaler Ösophagus",271.5,284.5,325,408
"C440","Sonstige bösartige Neubildungen: Lippenhaut",271.5,284.5,943,305.5
"H356","Netzhautblutung",271.5,284.5,357,305.5
"I252","Alter Myokardinfarkt",271.5,284.5,112,109.5
"K649","Hämorrhoiden, nicht näher bezeichnet",271.5,284.5,134,455.5
"K761","Chronische Stauungsleber",271.5,284.5,155,408
"M663","Spontanruptur von Beugesehnen",271.5,284.5,192,408
"M869","Osteomyelitis, nicht näher bezeichnet",271.5,284.5,126,228.5
"E669","Adipositas, nicht näher bezeichnet",276.5,290,896,268.5
"I739","Periphere Gefäßkrankheit, nicht näher bezeichnet",276.5,290,713,496
"F190","Psychische und Verhaltensstörungen durch multiplen Substanzgebrauch und Konsum anderer psychotroper Substanzen: Akute Intoxikation [akuter Rausch]",278,263,608,674.5
"K601","Chronische Analfissur",280.5,258.5,422,785.5
"L050","Pilonidalzyste mit Abszess",280.5,258.5,905,896.5
"N803","Endometriose des Beckenperitoneums",280.5,258.5,175,896.5
"S836","Verstauchung und Zerrung sonstiger und nicht näher bezeichneter Teile des Knies",280.5,258.5,241,879.5
"J150","Pneumonie durch Klebsiella pneumoniae",283.5,261.5,172,640
"S024","Fraktur des Jochbeins und des Oberkiefers",283.5,261.5,75,408
"G510","Fazialisparese",285.5,223.5,143,844
"J942","Hämatothorax",285.5,223.5,100,109.5
"E109","Diabetes mellitus, Typ 1: Ohne Komplikationen",287,237,931,785.5
"E210","Primärer Hyperparathyreoidismus",289,235,247,994
"I978","Sonstige Kreislaufkomplikationen nach medizinischen Maßnahmen, anderenorts nicht klassifiziert",289,235,173,611
"Z470","Entfernung einer Metallplatte oder einer anderen inneren Fixationsvorrichtung",289,235,33,109.5
"C450","Mesotheliom der Pleura",291,241,108,184
"C19","Bösartige Neubildung am Rektosigmoid, Übergang",292,240,213,744
"G540","Läsionen des Plexus brachialis",293.5,238.5,37,766
"K045","Chronische apikale Parodontitis",293.5,238.5,208,536
"C258","Bösartige Neubildung: Pankreas, mehrere Teilbereiche überlappend",295,268,817,930.5
"I517","Kardiomegalie",297,265,97,640
"N432","Sonstige Hydrozele",297,265,197,640
"R58","Blutung, anderenorts nicht klassifiziert",297,265,266,351.5
"G820","Schlaffe Paraparese und Paraplegie",299,267,130,1002.5
"I613","Intrazerebrale Blutung in den Hirnstamm",300,331.5,198,879.5
"E835","Störungen des Kalziumstoffwechsels",303,326,541,408
"H472","Optikusatrophie",303,326,906,455.5
"H701","Chronische Mastoiditis",303,326,257,942.5
"I311","Chronische konstriktive Perikarditis",303,326,675,351.5
"M653","Schnellender Finger",303,326,714,766
"C041","Bösartige Neubildung: Seitlicher Teil des Mundbodens",306.5,333.5,25,496
"F113","Psychische und Verhaltensstörungen durch Opioide: Entzugssyndrom",306.5,333.5,510,947
"D412","Neubildung unsicheren oder unbekannten Verhaltens: Ureter",308.5,329.5,160,844
"Z933","Vorhandensein eines Kolostomas",308.5,329.5,228,611
"G049","Enzephalitis, Myelitis und Enzephalomyelitis, nicht näher bezeichnet",310,331.5,276,496
"B59","Pneumozystose",311,298,909,924.5
"I278","Sonstige näher bezeichnete pulmonale Herzkrankheiten",313.5,293.5,136,822
"I771","Arterienstriktur",313.5,293.5,123,844
"K562","Volvulus",313.5,293.5,275,496
"M008","Arthritis und Polyarthritis durch sonstige näher bezeichnete bakterielle Erreger",313.5,293.5,166,966
"J931","Sonstiger Spontanpneumothorax",317.5,298,897,455.5
"K269","Ulcus duodeni: Weder als akut noch als chronisch bezeichnet, ohne Blutung oder Perforation",317.5,298,959,909
"L088","Sonstige näher bezeichnete lokale Infektionen der Haut und der Unterhaut",317.5,298,118,844
"S026","Unterkieferfraktur",317.5,298,230,575.5
"C719","Bösartige Neubildung: Gehirn, nicht näher bezeichnet",320.5,301.5,95,109.5
"F252","Gemischte schizoaffektive Störung",320.5,301.5,163,975.5
"T181","Fremdkörper im Ösophagus",322,269,156,803
"C809","Bösartige Neubildung, nicht näher bezeichnet",323.5,315,261,575.5
"K862","Pankreaszyste",323.5,315,1024,640
"K501","Crohn-Krankheit des Dickdarmes",325,318.5,215,611
"D300","Gutartige Neubildung: Niere",330.5,307.5,848,714.5
"F059","Delir, nicht näher bezeichnet",330.5,307.5,969,936.5
"H400","Glaukomverdacht",330.5,307.5,98,611
"H402","Primäres Engwinkelglaukom",330.5,307.5,125,952
"J47","Bronchiektasen",330.5,307.5,941,744
"K633","Darmulkus",330.5,307.5,638,575.5
"L308","Sonstige näher bezeichnete Dermatitis",330.5,307.5,808,896.5
"M253","Sonstige Instabilität eines Gelenkes",330.5,307.5,79,785.5
"S134","Verstauchung und Zerrung der Halswirbelsäule",330.5,307.5,1011,985.5
"S270","Traumatischer Pneumothorax",330.5,307.5,149,1002.5
"R063","Periodische Atmung",336,320,947,822
"E785","Hyperlipidämie, nicht näher bezeichnet",338,315,129,785.5
"I201","Angina pectoris mit nachgewiesenem Koronarspasmus",338,315,212,640
"S819","Offene Wunde des Unterschenkels, Teil nicht näher bezeichnet",338,315,343,803
"G412","Status epilepticus mit komplexfokalen Anfällen",340,318.5,763,184
"D591","Sonstige autoimmunhämolytische Anämien",341,357,269,16.5
"C152","Bösartige Neubildung: Abdominaler Ösophagus",342.5,354,267,674.5
"C439","Bösartiges Melanom der Haut, nicht näher bezeichnet",342.5,354,994,268.5
"A400","Sepsis durch Streptokokken, Gruppe A",352,343,164,879.5
"D132","Gutartige Neubildung: Duodenum",352,343,736,49
"D141","Gutartige Neubildung: Larynx",352,343,101,575.5
"D170","Gutartige Neubildung des Fettgewebes der Haut und der Unterhaut des Kopfes, des Gesichtes und des Halses",352,343,740,822
"D619","Aplastische Anämie, nicht näher bezeichnet",352,343,339,611
"D862","Sarkoidose der Lunge mit Sarkoidose der Lymphknoten",352,343,985,611
"G309","Alzheimer-Krankheit, nicht näher bezeichnet",352,343,841,936.5
"H262","Cataracta complicata",352,343,453,109.5
"H71","Cholesteatom des Mittelohres",352,343,232,966
"I859","Ösophagusvarizen ohne Blutung",352,343,972,536
"J980","Krankheiten der Bronchien, anderenorts nicht klassifiziert",352,343,133,184
"K264","Ulcus duodeni: Chronisch oder nicht näher bezeichnet, mit Blutung",352,343,154,455.5
"K838","Sonstige näher bezeichnete Krankheiten der Gallenwege",352,343,899,785.5
"M750","Adhäsive Entzündung der Schultergelenkkapsel",352,343,137,351.5
"N990","Nierenversagen nach medizinischen Maßnahmen",352,343,318,144.5
"R478","Sonstige und nicht näher bezeichnete Sprech- und Sprachstörungen",352,343,753,803
"Z518","Sonstige näher bezeichnete medizinische Behandlung",352,343,288,496
"F069","Nicht näher bezeichnete organische psychische Störung aufgrund einer Schädigung oder Funktionsstörung des Gehirns oder einer körperlichen Krankheit",362,354,610,351.5
"F130","Psychische und Verhaltensstörungen durch Sedativa oder Hypnotika: Akute Intoxikation [akuter Rausch]",362,354,243,822
"M861","Sonstige akute Osteomyelitis",362,354,660,844
"C712","Bösartige Neubildung: Temporallappen",364,359,153,924.5
"L570","Aktinische Keratose",365,358,131,536
"H020","Entropium und Trichiasis des Augenlides",366,805.5,182,75.5
"D411","Neubildung unsicheren oder unbekannten Verhaltens: Nierenbecken",374.5,805.5,748,896.5
"G968","Sonstige näher bezeichnete Krankheiten des Zentralnervensystems",374.5,805.5,681,228.5
"I609","Subarachnoidalblutung, nicht näher bezeichnet",374.5,805.5,750,16.5
"I971","Sonstige Funktionsstörungen nach kardiochirurgischem Eingriff",374.5,805.5,312,109.5
"K048","Radikuläre Zyste",374.5,805.5,862,184
"K068","Sonstige näher bezeichnete Krankheiten der Gingiva und des zahnlosen Alveolarkammes",374.5,805.5,786,268.5
"K267","Ulcus duodeni: Chronisch, ohne Blutung oder Perforation",374.5,805.5,975,455.5
"M608","Sonstige Myositis",374.5,805.5,888,351.5
"M863","Chronische multifokale Osteomyelitis",374.5,805.5,345,184
"N842","Polyp der Vagina",374.5,805.5,970,184
"N898","Sonstige näher bezeichnete nichtentzündliche Krankheiten der Vagina",374.5,805.5,974,228.5
"R161","Splenomegalie, anderenorts nicht klassifiziert",374.5,805.5,683,351.5
"R748","Sonstige abnorme Serumenzymwerte",374.5,805.5,264,49
"T847","Infektion und entzündliche Reaktion durch sonstige orthopädische Endoprothesen, Implantate oder Transplantate",374.5,805.5,820,351.5
"Z223","Keimträger anderer näher bezeichneter bakterieller Krankheiten",374.5,805.5,809,184
