"ICD","Description","ICA","LGPS","RF","Lasso"
"E835","Störungen des Kalziumstoffwechsels",45.5,175.5,72,35.5
"F069","Nicht näher bezeichnete organische psychische Störung aufgrund einer Schädigung oder Funktionsstörung des Gehirns oder einer körperlichen Krankheit",45.5,175.5,265,49
"G404","Sonstige generalisierte Epilepsie und epileptische Syndrome",45.5,175.5,225,117.5
"G629","Polyneuropathie, nicht näher bezeichnet",45.5,175.5,82,131
"H258","Sonstige senile Kataraktformen",45.5,175.5,282,65
"I447","Linksschenkelblock, nicht näher bezeichnet",45.5,175.5,46,49
"K045","Chronische apikale Parodontitis",45.5,175.5,34,11.5
"K552","Angiodysplasie des Kolons",45.5,175.5,230,117.5
"K558","Sonstige Gefäßkrankheiten des Darmes",45.5,175.5,88,56.5
"K641","Hämorrhoiden 2. Grades",45.5,175.5,253,82.5
"K703","Alkoholische Leberzirrhose",45.5,175.5,170,8.5
"L732","Hidradenitis suppurativa",45.5,175.5,276,74.5
"M000","Arthritis und Polyarthritis durch Staphylokokken",45.5,175.5,18,2
"R740","Erhöhung der Transaminasenwerte und des Laktat-Dehydrogenase-Wertes [LDH]",45.5,175.5,236,56.5
"S823","Distale Fraktur der Tibia",45.5,175.5,93,19
"T58","Toxische Wirkung von Kohlenmonoxid",45.5,175.5,178,131
"T841","Mechanische Komplikation durch eine interne Osteosynthesevorrichtung an Extremitätenknochen",45.5,175.5,22,49
"F132","Psychische und Verhaltensstörungen durch Sedativa oder Hypnotika: Abhängigkeitssyndrom",57,175.5,43,1730.5
"I612","Intrazerebrale Blutung in die Großhirnhemisphäre, nicht näher bezeichnet",57,175.5,54,123
"T845","Infektion und entzündliche Reaktion durch eine Gelenkendoprothese",57,175.5,248,117.5
"J448","Sonstige näher bezeichnete chronische obstruktive Lungenkrankheit",60,54.5,261,91.5
"K221","Ösophagusulkus",60,54.5,44,49
"T818","Sonstige Komplikationen bei Eingriffen, anderenorts nicht klassifiziert",60,54.5,84,112
"C341","Bösartige Neubildung: Oberlappen (-Bronchus)",62,60,83,187
"C780","Sekundäre bösartige Neubildung der Lunge",63.5,58.5,42,1730.5
"C900","Multiples Myelom",63.5,58.5,157,1730.5
"D291","Gutartige Neubildung: Prostata",75,41,92,65
"D649","Anämie, nicht näher bezeichnet",75,41,169,24
"F060","Organische Halluzinose",75,41,224,173.5
"F323","Schwere depressive Episode mit psychotischen Symptomen",75,41,31,208.5
"G560","Karpaltunnel-Syndrom",75,41,260,99
"H021","Ektropium des Augenlides",75,41,218,91.5
"H661","Chronische mesotympanale eitrige Otitis media",75,41,38,91.5
"I252","Alter Myokardinfarkt",75,41,86,1730.5
"I429","Kardiomyopathie, nicht näher bezeichnet",75,41,235,1730.5
"I491","Vorhofextrasystolie",75,41,273,230.5
"I499","Kardiale Arrhythmie, nicht näher bezeichnet",75,41,3,180.5
"K521","Toxische Gastroenteritis und Kolitis",75,41,155,208.5
"K746","Sonstige und nicht näher bezeichnete Zirrhose der Leber",75,41,45,65
"M542","Zervikalneuralgie",75,41,240,1730.5
"N950","Postmenopausenblutung",75,41,234,168
"Q211","Vorhofseptumdefekt",75,41,281,221.5
"R590","Lymphknotenvergrößerung, umschrieben",75,41,111,163
"S121","Fraktur des 2. Halswirbels",75,41,249,180.5
"S430","Luxation des Schultergelenkes [Glenohumeralgelenk]",75,41,263,123
"Z035","Beobachtung bei Verdacht auf sonstige kardiovaskuläre Krankheiten",75,41,266,123
"Z950","Vorhandensein eines kardialen elektronischen Geräts",75,41,89,65
"I428","Sonstige Kardiomyopathien",87,54.5,95,1730.5
"I724","Aneurysma und Dissektion einer Arterie der unteren Extremität",87,54.5,79,1730.5
"K430","Narbenhernie mit Einklemmung, ohne Gangrän",87,54.5,25,229
"C162","Bösartige Neubildung: Corpus ventriculi",89,175.5,39,99
"K640","Hämorrhoiden 1. Grades",91,175.5,174,131
"M651","Sonstige infektiöse (Teno-) Synovitis",91,175.5,104,91.5
"S066","Traumatische subarachnoidale Blutung",91,175.5,177,82.5
"C250","Bösartige Neubildung: Pankreaskopf",93,175.5,228,1730.5
"A410","Sepsis durch Staphylococcus aureus",187,175.5,245,1730.5
"B020","Zoster-Enzephalitis",187,175.5,115,117.5
"B182","Chronische Virushepatitis C",187,175.5,158,24
"B59","Pneumozystose",187,175.5,192,187
"C090","Bösartige Neubildung: Fossa tonsillaris",187,175.5,105,145
"C112","Bösartige Neubildung: Seitenwand des Nasopharynx",187,175.5,32,49
"C189","Bösartige Neubildung: Kolon, nicht näher bezeichnet",187,175.5,76,117.5
"C252","Bösartige Neubildung: Pankreasschwanz",187,175.5,10,56.5
"C449","Bösartige Neubildung der Haut, nicht näher bezeichnet",187,175.5,53,112
"C480","Bösartige Neubildung: Retroperitoneum",187,175.5,195,123
"C499","Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe, nicht näher bezeichnet",187,175.5,189,173.5
"C519","Bösartige Neubildung: Vulva, nicht näher bezeichnet",187,175.5,280,117.5
"C676","Bösartige Neubildung: Ostium ureteris",187,175.5,97,156
"C718","Bösartige Neubildung: Gehirn, mehrere Teilbereiche überlappend",187,175.5,199,201
"C775","Sekundäre und nicht näher bezeichnete bösartige Neubildung: Intrapelvine Lymphknoten",187,175.5,149,1730.5
"C786","Sekundäre bösartige Neubildung des Retroperitoneums und des Peritoneums",187,175.5,118,187
"C791","Sekundäre bösartige Neubildung der Harnblase sowie sonstiger und nicht näher bezeichneter Harnorgane",187,175.5,109,137.5
"C792","Sekundäre bösartige Neubildung der Haut",187,175.5,252,180.5
"C859","Non-Hodgkin-Lymphom, nicht näher bezeichnet",187,175.5,211,201
"C880","Makroglobulinämie Waldenström",187,175.5,148,193.5
"D012","Carcinoma in situ: Rektum",187,175.5,256,163
"D037","Melanoma in situ der unteren Extremität, einschließlich Hüfte",187,175.5,119,201
"D090","Carcinoma in situ: Harnblase",187,175.5,56,105.5
"D24","Gutartige Neubildung der Brustdrüse [Mamma]",187,175.5,255,99
"D391","Neubildung unsicheren oder unbekannten Verhaltens: Ovar",187,175.5,59,201
"D485","Neubildung unsicheren oder unbekannten Verhaltens: Haut",187,175.5,181,1730.5
"D648","Sonstige näher bezeichnete Anämien",187,175.5,108,41.5
"D690","Purpura anaphylactoides",187,175.5,216,1730.5
"D695","Sekundäre Thrombozytopenie",187,175.5,207,1730.5
"D701","Arzneimittelinduzierte Agranulozytose und Neutropenie",187,175.5,140,123
"E058","Sonstige Hyperthyreose",187,175.5,131,1730.5
"E063","Autoimmunthyreoiditis",187,175.5,179,91.5
"E15","Hypoglykämisches Koma, nichtdiabetisch",187,175.5,116,99
"F011","Multiinfarkt-Demenz",187,175.5,98,65
"F013","Gemischte kortikale und subkortikale vaskuläre Demenz",187,175.5,184,1730.5
"F119","Psychische und Verhaltensstörungen durch Opioide: Nicht näher bezeichnete psychische und Verhaltensstörung",187,175.5,145,49
"F172","Psychische und Verhaltensstörungen durch Tabak: Abhängigkeitssyndrom",187,175.5,133,35.5
"F341","Dysthymia",187,175.5,191,35.5
"F419","Angststörung, nicht näher bezeichnet",187,175.5,152,234.5
"F509","Essstörung, nicht näher bezeichnet",187,175.5,130,163
"F510","Nichtorganische Insomnie",187,175.5,151,35.5
"G042","Bakterielle Meningoenzephalitis und Meningomyelitis, anderenorts nicht klassifiziert",187,175.5,156,1730.5
"G214","Vaskuläres Parkinson-Syndrom",187,175.5,96,201
"G219","Sekundäres Parkinson-Syndrom, nicht näher bezeichnet",187,175.5,262,173.5
"G240","Arzneimittelinduzierte Dystonie",187,175.5,193,156
"G432","Status migraenosus",187,175.5,124,163
"G510","Fazialisparese",187,175.5,107,212.5
"G544","Läsionen der Lumbosakralwurzeln, anderenorts nicht klassifiziert",187,175.5,81,105.5
"G562","Läsion des N. ulnaris",187,175.5,274,224
"G819","Hemiparese und Hemiplegie, nicht näher bezeichnet",187,175.5,128,91.5
"H259","Senile Katarakt, nicht näher bezeichnet",187,175.5,175,35.5
"H331","Retinoschisis und Zysten der Netzhaut",187,175.5,259,208.5
"H358","Sonstige näher bezeichnete Affektionen der Netzhaut",187,175.5,159,41.5
"H409","Glaukom, nicht näher bezeichnet",187,175.5,121,82.5
"H534","Gesichtsfelddefekte",187,175.5,62,82.5
"H618","Sonstige näher bezeichnete Krankheiten des äußeren Ohres",187,175.5,173,227
"H720","Zentrale Perforation des Trommelfells",187,175.5,102,1730.5
"H818","Sonstige Störungen der Vestibularfunktion",187,175.5,110,218.5
"H833","Lärmschädigungen des Innenohres",187,175.5,67,19
"H931","Tinnitus aurium",187,175.5,150,35.5
"H932","Sonstige abnorme Hörempfindungen",187,175.5,64,105.5
"I248","Sonstige Formen der akuten ischämischen Herzkrankheit",187,175.5,55,105.5
"I254","Koronararterienaneurysma",187,175.5,200,131
"I279","Pulmonale Herzkrankheit, nicht näher bezeichnet",187,175.5,232,1730.5
"I426","Alkoholische Kardiomyopathie",187,175.5,271,212.5
"I469","Herzstillstand, nicht näher bezeichnet",187,175.5,90,236.5
"I517","Kardiomegalie",187,175.5,160,1730.5
"I602","Subarachnoidalblutung, von der A. communicans anterior ausgehend",187,175.5,183,201
"I606","Subarachnoidalblutung, von sonstigen intrakraniellen Arterien ausgehend",187,175.5,122,1730.5
"I693","Folgen eines Hirninfarktes",187,175.5,161,82.5
"I716","Aortenaneurysma, thorakoabdominal, ohne Angabe einer Ruptur",187,175.5,226,1730.5
"I728","Aneurysma und Dissektion sonstiger näher bezeichneter Arterien",187,175.5,154,112
"I731","Thrombangiitis obliterans [Endangiitis von-Winiwarter-Buerger]",187,175.5,15,4.5
"I868","Varizen sonstiger näher bezeichneter Lokalisationen",187,175.5,65,1730.5
"I890","Lymphödem, anderenorts nicht klassifiziert",187,175.5,71,1730.5
"I970","Postkardiotomie-Syndrom",187,175.5,24,31.5
"J069","Akute Infektion der oberen Atemwege, nicht näher bezeichnet",187,175.5,196,232.5
"J128","Pneumonie durch sonstige Viren",187,175.5,231,91.5
"J341","Zyste oder Mukozele der Nase und der Nasennebenhöhle",187,175.5,212,140.5
"J358","Sonstige chronische Krankheiten der Gaumenmandeln und der Rachenmandel",187,175.5,197,19
"J380","Lähmung der Stimmlippen und des Kehlkopfes",187,175.5,138,56.5
"J42","Nicht näher bezeichnete chronische Bronchitis",187,175.5,58,19
"J449","Chronische obstruktive Lungenkrankheit, nicht näher bezeichnet",187,175.5,222,131
"J450","Vorwiegend allergisches Asthma bronchiale",187,175.5,166,180.5
"J628","Pneumokoniose durch sonstigen Quarzstaub",187,175.5,73,91.5
"K053","Chronische Parodontitis",187,175.5,17,1730.5
"K137","Sonstige und nicht näher bezeichnete Läsionen der Mundschleimhaut",187,175.5,267,234.5
"K148","Sonstige Krankheiten der Zunge",187,175.5,221,1730.5
"K222","Ösophagusverschluss",187,175.5,87,140.5
"K228","Sonstige näher bezeichnete Krankheiten des Ösophagus",187,175.5,219,224
"K264","Ulcus duodeni: Chronisch oder nicht näher bezeichnet, mit Blutung",187,175.5,180,193.5
"K315","Duodenalverschluss",187,175.5,80,56.5
"K419","Hernia femoralis, einseitig oder ohne Seitenangabe, ohne Einklemmung und ohne Gangrän",187,175.5,242,193.5
"K469","Nicht näher bezeichnete abdominale Hernie ohne Einklemmung und ohne Gangrän",187,175.5,182,150
"K523","Colitis indeterminata",187,175.5,264,156
"K559","Gefäßkrankheit des Darmes, nicht näher bezeichnet",187,175.5,125,173.5
"K600","Akute Analfissur",187,175.5,238,65
"K621","Rektumpolyp",187,175.5,186,208.5
"K622","Analprolaps",187,175.5,117,131
"K643","Hämorrhoiden 4. Grades",187,175.5,40,82.5
"K649","Hämorrhoiden, nicht näher bezeichnet",187,175.5,78,1730.5
"K704","Alkoholisches Leberversagen",187,175.5,120,193.5
"K834","Spasmus des Sphinkter Oddi",187,175.5,74,1730.5
"K852","Alkoholinduzierte akute Pankreatitis",187,175.5,162,201
"K918","Sonstige Krankheiten des Verdauungssystems nach medizinischen Maßnahmen, anderenorts nicht klassifiziert",187,175.5,47,145
"L270","Generalisierte Hauteruption durch Drogen oder Arzneimittel",187,175.5,75,221.5
"L512","Toxische epidermale Nekrolyse [Lyell-Syndrom]",187,175.5,143,82.5
"L570","Aktinische Keratose",187,175.5,237,193.5
"L600","Unguis incarnatus",187,175.5,203,131
"L601","Onycholysis",187,175.5,185,131
"L721","Trichilemmalzyste",187,175.5,66,105.5
"L858","Sonstige näher bezeichnete Epidermisverdickungen",187,175.5,127,201
"L900","Lichen sclerosus et atrophicus",187,175.5,269,208.5
"M059","Seropositive chronische Polyarthritis, nicht näher bezeichnet",187,175.5,188,49
"M068","Sonstige näher bezeichnete chronische Polyarthritis",187,175.5,28,4.5
"M130","Polyarthritis, nicht näher bezeichnet",187,175.5,251,74.5
"M159","Polyarthrose, nicht näher bezeichnet",187,175.5,35,49
"M170","Primäre Gonarthrose, beidseitig",187,175.5,205,28.5
"M215","Erworbene Klauenhand, Klumphand, erworbener Klauenfuß und Klumpfuß",187,175.5,206,150
"M242","Krankheiten der Bänder",187,175.5,77,31.5
"M245","Gelenkkontraktur",187,175.5,123,150
"M254","Gelenkerguss",187,175.5,50,1730.5
"M481","Spondylitis hyperostotica [Forestier-Ott]",187,175.5,167,187
"M750","Adhäsive Entzündung der Schultergelenkkapsel",187,175.5,220,1730.5
"M802","Inaktivitätsosteoporose mit pathologischer Fraktur",187,175.5,213,131
"M818","Sonstige Osteoporose",187,175.5,129,215
"M866","Sonstige chronische Osteomyelitis",187,175.5,99,41.5
"M895","Osteolyse",187,175.5,60,156
"M939","Osteochondropathie, nicht näher bezeichnet",187,175.5,69,4.5
"M950","Erworbene Deformität der Nase",187,175.5,215,173.5
"N135","Abknickung und Striktur des Ureters ohne Hydronephrose",187,175.5,223,16
"N182","Chronische Nierenkrankheit, Stadium 2",187,175.5,85,218.5
"N185","Chronische Nierenkrankheit, Stadium 5",187,175.5,37,24
"N202","Nierenstein und Ureterstein gleichzeitig",187,175.5,208,215
"N311","Neurogene Reflexblase, anderenorts nicht klassifiziert",187,175.5,202,105.5
"N360","Harnröhrenfistel",187,175.5,126,201
"N368","Sonstige näher bezeichnete Krankheiten der Harnröhre",187,175.5,272,1730.5
"N421","Kongestion und Blutung der Prostata",187,175.5,13,7
"N498","Entzündliche Krankheiten sonstiger näher bezeichneter männlicher Genitalorgane",187,175.5,247,187
"N648","Sonstige näher bezeichnete Krankheiten der Mamma",187,175.5,94,112
"N762","Akute Vulvitis",187,175.5,63,28.5
"N814","Uterovaginalprolaps, nicht näher bezeichnet",187,175.5,112,168
"N991","Harnröhrenstriktur nach medizinischen Maßnahmen",187,175.5,61,65
"N998","Sonstige Krankheiten des Urogenitalsystems nach medizinischen Maßnahmen",187,175.5,41,173.5
"Q446","Zystische Leberkrankheit [Zystenleber]",187,175.5,51,82.5
"Q660","Pes equinovarus congenitus",187,175.5,209,173.5
"Q828","Sonstige näher bezeichnete angeborene Fehlbildungen der Haut",187,175.5,194,131
"R234","Veränderungen des Hautreliefs",187,175.5,100,1730.5
"R263","Immobilität",187,175.5,132,218.5
"R398","Sonstige und nicht näher bezeichnete Symptome, die das Harnsystem betreffen",187,175.5,23,74.5
"R402","Koma, nicht näher bezeichnet",187,175.5,70,91.5
"R412","Retrograde Amnesie",187,175.5,52,105.5
"R482","Apraxie",187,175.5,137,1730.5
"R490","Dysphonie",187,175.5,165,156
"R508","Sonstiges näher bezeichnetes Fieber",187,175.5,135,74.5
"R591","Lymphknotenvergrößerung, generalisiert",187,175.5,136,168
"R69","Unbekannte und nicht näher bezeichnete Krankheitsursachen",187,175.5,30,137.5
"R942","Abnorme Ergebnisse von Lungenfunktionsprüfungen",187,175.5,134,105.5
"S000","Oberflächliche Verletzung der behaarten Kopfhaut",187,175.5,141,180.5
"S003","Oberflächliche Verletzung der Nase",187,175.5,91,193.5
"S009","Oberflächliche Verletzung des Kopfes, Teil nicht näher bezeichnet",187,175.5,214,140.5
"S018","Offene Wunde sonstiger Teile des Kopfes",187,175.5,187,208.5
"S051","Prellung des Augapfels und des Orbitagewebes",187,175.5,172,1730.5
"S122","Fraktur eines sonstigen näher bezeichneten Halswirbels",187,175.5,257,224
"S223","Rippenfraktur",187,175.5,19,14.5
"S324","Fraktur des Acetabulums",187,175.5,144,1730.5
"S327","Multiple Frakturen mit Beteiligung der Lendenwirbelsäule und des Beckens",187,175.5,198,74.5
"S424","Fraktur des distalen Endes des Humerus",187,175.5,147,1730.5
"S510","Offene Wunde des Ellenbogens",187,175.5,114,131
"S531","Luxation sonstiger und nicht näher bezeichneter Teile des Ellenbogens",187,175.5,241,150
"S861","Verletzung sonstiger Muskeln und Sehnen der posterioren Muskelgruppe in Höhe des Unterschenkels",187,175.5,233,150
"S913","Offene Wunde sonstiger Teile des Fußes",187,175.5,68,227
"S924","Fraktur der Großzehe",187,175.5,171,1730.5
"T179","Fremdkörper in den Atemwegen, Teil nicht näher bezeichnet",187,175.5,27,28.5
"T754","Schäden durch elektrischen Strom",187,175.5,146,215
"T793","Posttraumatische Wundinfektion, anderenorts nicht klassifiziert",187,175.5,106,112
"T826","Infektion und entzündliche Reaktion durch eine Herzklappenprothese",187,175.5,243,1730.5
"T831","Mechanische Komplikation durch sonstige Geräte oder Implantate im Harntrakt",187,175.5,176,156
"T852","Mechanische Komplikation durch eine intraokulare Linse",187,175.5,139,1730.5
"T865","Versagen und Abstoßung eines Hauttransplantates",187,175.5,229,74.5
"T868","Versagen und Abstoßung sonstiger transplantierter Organe und Gewebe",187,175.5,201,180.5
"Z080","Nachuntersuchung nach chirurgischem Eingriff wegen bösartiger Neubildung",187,175.5,20,14.5
"Z430","Versorgung eines Tracheostomas",187,175.5,29,187
"Z511","Chemotherapie-Sitzung wegen bösartiger Neubildung",187,175.5,204,1730.5
"Z880","Allergie gegenüber Penicillin in der Eigenanamnese",187,175.5,103,65
"Z889","Allergie gegenüber nicht näher bezeichneten Arzneimitteln, Drogen oder biologisch aktiven Substanzen in der Eigenanamnese",187,175.5,49,4.5
"Z896","Verlust der unteren Extremität oberhalb des Knies, einseitig",187,175.5,210,65
"C139","Bösartige Neubildung: Hypopharynx, nicht näher bezeichnet",283.5,175.5,258,1730.5
"D45","Polycythaemia vera",283.5,175.5,7,163
"D467","Sonstige myelodysplastische Syndrome",283.5,175.5,168,28.5
"E038","Sonstige näher bezeichnete Hypothyreose",283.5,175.5,21,1730.5
"F133","Psychische und Verhaltensstörungen durch Sedativa oder Hypnotika: Entzugssyndrom",283.5,175.5,113,1730.5
"I513","Intrakardiale Thrombose, anderenorts nicht klassifiziert",283.5,175.5,279,1730.5
"C180","Bösartige Neubildung: Zäkum",287,175.5,9,99
"M541","Radikulopathie",288.5,175.5,3749,3759
"T842","Mechanische Komplikation durch eine interne Osteosynthesevorrichtung an sonstigen Knochen",288.5,61,244,56.5
"K429","Hernia umbilicalis ohne Einklemmung und ohne Gangrän",290,290,3509,3778.5
"I211","Akuter transmuraler Myokardinfarkt der Hinterwand",291.5,291.5,3770,3729.5
"J22","Akute Infektion der unteren Atemwege, nicht näher bezeichnet",291.5,291.5,3718,3750.5
"K623","Rektumprolaps",294.5,294.5,3734,3766
"R002","Palpitationen",294.5,294.5,3761,3759
"S300","Prellung der Lumbosakralgegend und des Beckens",294.5,294.5,3695,3766
"S700","Prellung der Hüfte",294.5,294.5,465,1730.5
"I620","Subdurale Blutung (nichttraumatisch)",297,297,3735,3665
"M169","Koxarthrose, nicht näher bezeichnet",298,298,3721,3772
"D683","Hämorrhagische Diathese durch Antikoagulanzien und Antikörper",303.5,303.5,3513,3343.5
"E116","Diabetes mellitus, Typ 2: Mit sonstigen näher bezeichneten Komplikationen",303.5,303.5,3644,3759
"I742","Embolie und Thrombose der Arterien der oberen Extremitäten",303.5,303.5,3740,3783.5
"I803","Thrombose, Phlebitis und Thrombophlebitis der unteren Extremitäten, nicht näher bezeichnet",303.5,303.5,343,3782
"I808","Thrombose, Phlebitis und Thrombophlebitis sonstiger Lokalisationen",303.5,303.5,3773,3772
"J342","Nasenseptumdeviation",303.5,303.5,3717,3781
"M720","Fibromatose der Palmarfaszie [Dupuytren-Kontraktur]",303.5,303.5,3768,3775.5
"R100","Akutes Abdomen",303.5,303.5,3427,3638
"S761","Verletzung des Muskels und der Sehne des M. quadriceps femoris",303.5,303.5,3691,3243
"T813","Aufreißen einer Operationswunde, anderenorts nicht klassifiziert",303.5,303.5,3395,3295
"C679","Bösartige Neubildung: Harnblase, nicht näher bezeichnet",309,309,3729,3603
"K250","Ulcus ventriculi: Akut, mit Blutung",310,310,3360,1730.5
"F432","Anpassungsstörungen",314,314,377,3715
"I714","Aneurysma der Aorta abdominalis, ohne Angabe einer Ruptur",314,314,531,1730.5
"K353","Akute Appendizitis mit lokalisierter Peritonitis",314,314,3725,3778.5
"M464","Diszitis, nicht näher bezeichnet",314,314,3531,3447
"M628","Sonstige näher bezeichnete Muskelkrankheiten",314,314,3635,3621.5
"R296","Sturzneigung, anderenorts nicht klassifiziert",314,314,382,3375
"Z380","Einling, Geburt im Krankenhaus",314,314,3727,3775.5
"K566","Sonstige und nicht näher bezeichnete intestinale Obstruktion",318,319.5,3687,3471.5
"A411","Sepsis durch sonstige näher bezeichnete Staphylokokken",329,331,618,3766
"D124","Gutartige Neubildung: Colon descendens",329,331,364,1730.5
"D414","Neubildung unsicheren oder unbekannten Verhaltens: Harnblase",329,331,3600,3737.5
"I608","Sonstige Subarachnoidalblutung",329,331,3595,1730.5
"I613","Intrazerebrale Blutung in den Hirnstamm",329,331,3300,1730.5
"I616","Intrazerebrale Blutung an mehreren Lokalisationen",329,331,3570,3585.5
"I712","Aneurysma der Aorta thoracica, ohne Angabe einer Ruptur",329,331,3627,3750.5
"J370","Chronische Laryngitis",329,331,3364,1730.5
"J459","Asthma bronchiale, nicht näher bezeichnet",329,331,404,3355
"K317","Polyp des Magens und des Duodenums",329,331,604,3270
"K420","Hernia umbilicalis mit Einklemmung, ohne Gangrän",329,331,630,3523
"M179","Gonarthrose, nicht näher bezeichnet",329,331,3579,3621.5
"M202","Hallux rigidus",329,331,3608,3665
"M353","Polymyalgia rheumatica",329,331,3697,3772
"M512","Sonstige näher bezeichnete Bandscheibenverlagerung",329,331,411,3683.5
"M658","Sonstige Synovitis und Tenosynovitis",329,331,3642,3698.5
"M878","Sonstige Knochennekrose",329,331,3443,3715
"N47","Vorhauthypertrophie, Phimose und Paraphimose",329,331,390,3621.5
"S822","Fraktur des Tibiaschaftes",329,331,3685,3683.5
"S835","Verstauchung und Zerrung des Kniegelenkes mit Beteiligung des (vorderen) (hinteren) Kreuzbandes",329,331,3671,3750.5
"T828","Sonstige näher bezeichnete Komplikationen durch Prothesen, Implantate oder Transplantate im Herzen und in den Gefäßen",329,331,330,3471.5
"L405","Psoriasis-Arthropathie",340,318,570,3459
"K260","Ulcus duodeni: Akut, mit Blutung",341,319.5,338,1730.5
"C184","Bösartige Neubildung: Colon transversum",343,345,324,3447
"C504","Bösartige Neubildung: Oberer äußerer Quadrant der Brustdrüse",343,345,464,1730.5
"M201","Hallux valgus (erworben)",343,345,399,3737.5
"A499","Bakterielle Infektion, nicht näher bezeichnet",382.5,385.5,3399,3556.5
"B022","Zoster mit Beteiligung anderer Abschnitte des Nervensystems",382.5,385.5,3614,3523
"C433","Bösartiges Melanom sonstiger und nicht näher bezeichneter Teile des Gesichtes",382.5,385.5,3551,3649
"C436","Bösartiges Melanom der oberen Extremität, einschließlich Schulter",382.5,385.5,480,3387
"C503","Bösartige Neubildung: Unterer innerer Quadrant der Brustdrüse",382.5,385.5,613,3295
"C508","Bösartige Neubildung: Brustdrüse, mehrere Teilbereiche überlappend",382.5,385.5,3640,3621.5
"C851","B-Zell-Lymphom, nicht näher bezeichnet",382.5,385.5,3515,3544.5
"D136","Gutartige Neubildung: Pankreas",382.5,385.5,3451,1730.5
"D231","Sonstige gutartige Neubildungen: Haut des Augenlides, einschließlich Kanthus",382.5,385.5,412,3603
"D370","Neubildung unsicheren oder unbekannten Verhaltens: Lippe, Mundhöhle und Pharynx",382.5,385.5,3574,1730.5
"E107","Diabetes mellitus, Typ 1: Mit multiplen Komplikationen",382.5,385.5,3520,3544.5
"E112","Diabetes mellitus, Typ 2: Mit Nierenkomplikationen",382.5,385.5,3408,3312.5
"E854","Organbegrenzte Amyloidose",382.5,385.5,410,3683.5
"E875","Hyperkaliämie",382.5,385.5,440,3312.5
"E876","Hypokaliämie",382.5,385.5,497,3533
"F130","Psychische und Verhaltensstörungen durch Sedativa oder Hypnotika: Akute Intoxikation [akuter Rausch]",382.5,385.5,407,3603
"F431","Posttraumatische Belastungsstörung",382.5,385.5,530,1730.5
"G418","Sonstiger Status epilepticus",382.5,385.5,508,3285.5
"G430","Migräne ohne Aura [Gewöhnliche Migräne]",382.5,385.5,336,3715
"G470","Ein- und Durchschlafstörungen",382.5,385.5,479,1730.5
"G500","Trigeminusneuralgie",382.5,385.5,3376,1730.5
